uid,domainID,siteID,plotID,trapCoordinate,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,date,eventID,individualID,taxonID,scientificName,taxonRank,identificationQualifier,identificationStatus,sex,reproductiveCondition,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,bloodSampleID,bloodSampleMethod,fecalSampleID,fecalSampleCondition,earSampleID,hairSampleID,whiskerSampleID,voucherSampleID,measuredBy,recordedBy,remarks,consistencyTagIDSexQF,consistencyTagIDTaxonIDQF,consistencyTagIDLifeStageQF,orderTagIDRecaptureQF,orderTagIDLifeStageQF,,
594A6DF1A5EF468CB7D1364D52EB0602,D01,BART,BART_012,I4,deciduousForest,44.047578,-71.314956,WGS84,,616.9,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.0R0570,PEMA,Peromyscus maniculatus,species,cf. species, ,M,N,N,,,subadult,,,,,20,15,82,,16,BART.20140628.R0570.B,unsuccessful,BART.20140628.R0570.F,fresh,BART.20140628.R0570.E,BART.20140628.R0570.H,BART.20140628.R0570.H,,L2UvsYujt8BdCSqP+eOKcgcPb/VQ+IyW,6SJ325p65hb3UnCLYcVTsvIc8JdpRGee,Blood sample dispersed into fur,0,0,1,-1,1,,
F5E075F906E748BE99E38A2ABBAD9AA6,D01,BART,BART_001,A7,mixedForest,44.046686,-71.305608,WGS84,,530.9,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.0R0439,PEMA,Peromyscus maniculatus,species,cf. species, ,M,N,N,,,adult,nonscrotal,,,,20,16,48,,13,BART.20140628.R0439.B,mandibular,BART.20140628.R0439.F,old,BART.20140628.R0439.E,BART.20140628.R0439.H,BART.20140628.R0439.H,,ze4KwYTRE77ZeyISZGU0F0Nj8//iQdt6,U3preYdWOJx55TH7MGq0n6opLXzBc8v+,,-1,0,0,-1,0,,
F320852B352B415EB1067DA7AFAD1887,D01,BART,BART_012,A1,deciduousForest,44.047827,-71.315964,WGS84,,625.3,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.O012A1,BLBR,Blarina brevicauda,species,, ,F,R,N,dead,,,,enlarged,not,,,,,,,,,,,,,,BART.20140628.O012A1.V,L2UvsYujt8BdCSqP+eOKcgcPb/VQ+IyW,6SJ325p65hb3UnCLYcVTsvIc8JdpRGee,Collected for archive,0,0,0,-1,0,,
A7AE6D0C829D43C88BB3B9B48C553043,D01,BART,BART_001,D6,mixedForest,44.046784,-71.305237,WGS84,,526.1,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.0R0448,PEMA,Peromyscus maniculatus,species,cf. species, ,F,N,N,,,adult,,nonenlarged,not,neither,20,15,80,,14,BART.20140628.R0448.B,mandibular,BART.20140628.R0448.F,fresh,BART.20140628.R0448.E,BART.20140628.R0448.H,BART.20140628.R0448.H,,ze4KwYTRE77ZeyISZGU0F0Nj8//iQdt6,U3preYdWOJx55TH7MGq0n6opLXzBc8v+,,0,0,1,-1,1,,
CA82EA78210F4041A2ECEB9E1F9D7F11,D01,BART,BART_001,E3,mixedForest,44.047056,-71.305123,WGS84,,523.9,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.421249,MYGA,Myodes gapperi,species,, ,M,R,N,dead,,adult,scrotal,,,,17,,,,28,BART.20140628.421249.B,mandibular,BART.20140628.421249.F,old,BART.20140628.421249.E,,,BART.20140628.421249.V,ze4KwYTRE77ZeyISZGU0F0Nj8//iQdt6,U3preYdWOJx55TH7MGq0n6opLXzBc8v+,421249 - collected for archive,0,0,0,-1,0,,
8401F82F1DBB47B1889F1C00B0674424,D01,BART,BART_001,B10,mixedForest,44.046419,-71.305473,WGS84,,530.2,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.0R0443,TAST,Tamias striatus,species,, ,F,N,N,,,adult,,nonenlarged,not,neither,34,,,,17,,,BART.20140628.R0443.F,fresh,BART.20140628.R0443.E,,,,ze4KwYTRE77ZeyISZGU0F0Nj8//iQdt6,U3preYdWOJx55TH7MGq0n6opLXzBc8v+,,0,0,0,-1,0,,
6A2DBA18D199419EABE9BFA20C82A61A,D01,BART,BART_012,F3,deciduousForest,44.04766,-71.315334,WGS84,,619.9,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.0R0446,PEMA,Peromyscus maniculatus,species,cf. species, ,M,N,N,,,subadult,nonscrotal,,,,21,12,79,,14,,unsuccessful,BART.20140628.R0446.F,old,BART.20140628.R0446.E,BART.20140628.R0446.H,BART.20140628.R0446.H,,U3preYdWOJx55TH7MGq0n6opLXzBc8v+,ze4KwYTRE77ZeyISZGU0F0Nj8//iQdt6,,0,1,1,-1,1,,
DD4B3A5006E240DE99A19D6D22C4C265,D01,BART,BART_012,I8,deciduousForest,44.047218,-71.314942,WGS84,,613.1,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.0R0484,PEMA,Peromyscus maniculatus,species,cf. species, ,F,N,N,,,adult,,nonenlarged,not,neither,21,17,80,,19,BART.20140628.R0484.B,mandibular,BART.20140628.R0484.F,fresh,BART.20140628.R0484.E,BART.20140628.R0484.H,BART.20140628.R0484.H,,U3preYdWOJx55TH7MGq0n6opLXzBc8v+,ze4KwYTRE77ZeyISZGU0F0Nj8//iQdt6,,0,1,0,-1,0,,
D633F8E4BE124CF58F9D26E2DDDB062E,D01,BART,BART_012,G10,deciduousForest,44.047033,-71.315184,WGS84,,612.5,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.0R0568,PEMA,Peromyscus maniculatus,species,cf. species, ,M,N,N,,,adult,nonscrotal,,,,19,14,90,,18,BART.20140628.R0568.B,unsuccessful,BART.20140628.R0568.F,fresh,BART.20140628.R0568.E,BART.20140628.R0568.H,BART.20140628.R0568.H,,L2UvsYujt8BdCSqP+eOKcgcPb/VQ+IyW,6SJ325p65hb3UnCLYcVTsvIc8JdpRGee,flash only,0,0,1,-1,1,,
D3D3A59CF8924281BEA7EE2BB0300C76,D01,BART,BART_012,I7,deciduousForest,44.047308,-71.314946,WGS84,,614.1,,6/28/2014,MAM.BART.2014.07,NEON.MAM.D01.0R0569,PEMA,Peromyscus maniculatus,species,cf. species, ,F,N,N,,,juvenile,,nonenlarged,not,neither,18,14,80,,15,BART.20140628.R0569.B,unsuccessful,BART.20140628.R0569.F,old,BART.20140628.R0569.E,BART.20140628.R0569.H,BART.20140628.R0569.H,,L2UvsYujt8BdCSqP+eOKcgcPb/VQ+IyW,6SJ325p65hb3UnCLYcVTsvIc8JdpRGee,,0,1,1,-1,1,,
