"uid","domainID","siteID","plotID","trapCoordinate","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","date","eventID","individualID","taxonID","scientificName","taxonRank","identificationQualifier","identificationStatus","sex","reproductiveCondition","recapture","fate","replacedTag","lifeStage","testes","nipples","pregnancyStatus","vagina","hindfootLength","earLength","tailLength","totalLength","weight","bloodSampleID","bloodSampleMethod","fecalSampleID","fecalSampleCondition","earSampleID","hairSampleID","whiskerSampleID","voucherSampleID","measuredBy","recordedBy","remarks","consistencyTagIDSexQF","consistencyTagIDTaxonIDQF","consistencyTagIDLifeStageQF","orderTagIDRecaptureQF","orderTagIDLifeStageQF"
"6BA2D817017444B9BEEF4144E444B6B7","D02","SCBI","SCBI_035","A1","pastureHay",38.882563,-78.170432,"WGS84",,307.6,,"2014-06-01","MAM.SCBI.2014.06","NEON.MAM.D02.0R1078","PELE","Peromyscus leucopus","species",," ","F","R","Y",,,"adult",,"enlarged","not","neither",16.0,,,,,,,"SCBI.20140601.R1078.F","fresh",,,,,"esNjjubcI51hdInmRHEEIrFR4+oIJtuN","wYCqaZcA+7u27D51Jl1kBrbZnYGv2DDh",,0,0,0,-1,0
"9E6CB38C9F0E4795B5648EFF596394B9","D02","SCBI","SCBI_039","J9","pastureHay",38.894560,-78.165997,"WGS84",,283.0,,"2014-06-01","MAM.SCBI.2014.06","NEON.MAM.D02.0R1104","PELE","Peromyscus leucopus","species",," ","M","N","N",,,"juvenile","nonscrotal",,,,19.0,,,,13.00,,"unsuccessful","SCBI.20140601.R1104.F","fresh","SCBI.20140601.R1104.E","SCBI.20140601.R1104.H","SCBI.20140601.R1104.H",,"+3rkFzjEI4fJdfNe5/4iIYKyantpbxQC","vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","small bleed, none collected and not reattempted because of size",0,0,0,-1,0
"3C7AD474B20146AD93B14846A882284D","D02","SCBI","SCBI_039","I10","pastureHay",38.894473,-78.166115,"WGS84",,282.2,,"2014-06-01","MAM.SCBI.2014.06","NEON.MAM.D02.0R1103","PELE","Peromyscus leucopus","species",," ","M","N","N",,,"adult","nonscrotal",,,,20.0,,,,23.00,"SCBI.20140601.R1103.B","mandibular","SCBI.20140601.R1103.F","fresh","SCBI.20140601.R1103.E","SCBI.20140601.R1103.H","SCBI.20140601.R1103.H",,"+3rkFzjEI4fJdfNe5/4iIYKyantpbxQC","vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=",,0,0,0,-1,0
"9DD824150BEF409B871E7CB305AEF0E8","D02","SCBI","SCBI_035","A10","pastureHay",38.881753,-78.170464,"WGS84",,307.2,,"2014-06-01","MAM.SCBI.2014.06","NEON.MAM.D02.0R1077","ZAHU","Zapus hudsonius","species",," ","F","R","Y",,,"adult",,"enlarged","not","neither",29.0,,,,19.00,,,"SCBI.20140601.R1077.F","old",,,,,"esNjjubcI51hdInmRHEEIrFR4+oIJtuN","wYCqaZcA+7u27D51Jl1kBrbZnYGv2DDh",,0,0,0,-1,0
"C7D790512B2E4AD39811B773455B72EF","D02","SCBI","SCBI_035","F6","pastureHay",38.882099,-78.169874,"WGS84",,305.1,,"2014-06-01","MAM.SCBI.2014.06","NEON.MAM.D02.0R1069","ZAHU","Zapus hudsonius","species",," ","M","R","N",,,"adult","scrotal",,,,28.0,,,,30.00,"SCBI.20140601.R1069.B","mandibular","SCBI.20140601.R1069.F","old","SCBI.20140601.R1069.E",,,,"esNjjubcI51hdInmRHEEIrFR4+oIJtuN","wYCqaZcA+7u27D51Jl1kBrbZnYGv2DDh",,0,0,0,-1,0
"352F0A9153574A279A7A17133484A5DA","D02","SCBI","SCBI_035","F3","pastureHay",38.882369,-78.169863,"WGS84",,305.0,,"2014-06-01","MAM.SCBI.2014.06","NEON.MAM.D02.0R1065","PELE","Peromyscus leucopus","species",," ","F","N","N",,,"subadult",,"nonenlarged","not","neither",20.0,,,,13.00,"SCBI.20140601.R1065.B","mandibular","SCBI.20140601.R1065.F","fresh","SCBI.20140601.R1065.E","SCBI.20140601.R1065.H","SCBI.20140601.R1065.H",,"esNjjubcI51hdInmRHEEIrFR4+oIJtuN","wYCqaZcA+7u27D51Jl1kBrbZnYGv2DDh",,0,0,0,-1,0
"94029C577BDC4D98BAD74A238FE223FE","D02","SCBI","SCBI_035","E4","pastureHay",38.882282,-78.169982,"WGS84",,305.5,,"2014-06-01","MAM.SCBI.2014.06",,"MIPE","Microtus pennsylvanicus","species",," ","F","N","N",,,"juvenile",,"nonenlarged","not","neither",17.0,,,,10.00,,,,,,,,,"esNjjubcI51hdInmRHEEIrFR4+oIJtuN","wYCqaZcA+7u27D51Jl1kBrbZnYGv2DDh","Deemed too small to give pit tag. Old fecal and ear samples were taken but do not have ID",-1,-1,-1,-1,-1
"4BDB9F4DCD5C4850A923F2F4648B7049","D02","SCBI","SCBI_035","C5","pastureHay",38.882197,-78.170216,"WGS84",,306.5,,"2014-06-01","MAM.SCBI.2014.06","NEON.MAM.D02.123683","MIPE","Microtus pennsylvanicus","species",," ","M","R","N",,,"adult","scrotal",,,,19.0,,,,30.00,,,"SCBI.20140601.123683.F","fresh","SCBI.20140601.123683.E",,,,"esNjjubcI51hdInmRHEEIrFR4+oIJtuN","wYCqaZcA+7u27D51Jl1kBrbZnYGv2DDh",,0,0,0,-1,0
"CB2F25936775454E8AEBCF4418FCF2CA","D02","SCBI","SCBI_008","B2","deciduousForest",38.886720,-78.146741,"WGS84",,337.5,,"2014-06-01","MAM.SCBI.2014.06","NEON.MAM.D02.0R1100","PELE","Peromyscus leucopus","species",," ","M","N","Y",,,"subadult","nonscrotal",,,,,,,,,,,,,,,,,"+3rkFzjEI4fJdfNe5/4iIYKyantpbxQC","vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=",,0,0,0,-1,0
"8C499AEF0B534139B17CC41A64F81F1F","D02","SCBI","SCBI_008","C1","deciduousForest",38.886808,-78.146622,"WGS84",,337.5,,"2014-06-01","MAM.SCBI.2014.06","NEON.MAM.D02.0R1075","PELE","Peromyscus leucopus","species",," ","M","N","Y",,,"adult","nonscrotal",,,,19.0,,,,20.00,,,,,,,,,"+3rkFzjEI4fJdfNe5/4iIYKyantpbxQC","vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=",,0,0,0,-1,0
"45B008CABEA9444CBCB9570569C2B727","D02","SCBI","SCBI_035","A2","pastureHay",38.882473,-78.170435,"WGS84",,307.5,,"2014-06-01","MAM.SCBI.2014.06",,"MIPE","Microtus pennsylvanicus","species",," ","F","N","N",,,"juvenile",,"nonenlarged","not","neither",17.0,,,,12.00,,,,,,,,,"esNjjubcI51hdInmRHEEIrFR4+oIJtuN","wYCqaZcA+7u27D51Jl1kBrbZnYGv2DDh","Deemed too small for pit tag, fresh fecal and ear samples taken but no ID",-1,-1,-1,-1,-1
"43D8001FE7B941BF89269C13ACFCA2B9","D02","SCBI","SCBI_039","I2","pastureHay",38.895193,-78.166087,"WGS84",,278.9,,"2014-06-01","MAM.SCBI.2014.06","NEON.MAM.D02.0R1106","ZAHU","Zapus hudsonius","species","cf. species"," ","F","N","N",,,"adult",,"nonenlarged","not","neither",24.0,,,,16.00,"SCBI.20140601.R1106.B","mandibular","SCBI.20140601.R1106.F","fresh","SCBI.20140601.R1106.E",,,,"+3rkFzjEI4fJdfNe5/4iIYKyantpbxQC","vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","Could possibly be NAIN, but not positive",0,0,0,-1,0
"4D46C2B3821248869B4B01D817001365","D02","SCBI","SCBI_039","G4","pastureHay",38.895018,-78.166324,"WGS84",,277.5,,"2014-06-01","MAM.SCBI.2014.06","NEON.MAM.D02.0R1105","PELE","Peromyscus leucopus","species",," ","M","N","N",,,"adult","nonscrotal",,,,,,,,,"SCBI.20140601.R1105.B","mandibular","SCBI.20140601.R1105.F","fresh",,,,,"+3rkFzjEI4fJdfNe5/4iIYKyantpbxQC","vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","processing stopped after bleed in order to rehabilitate",0,0,0,-1,0
"2B482BBA363C4F8F9E4BAB4204A3D1B9","D02","SCBI","SCBI_035","B3","pastureHay",38.882380,-78.170324,"WGS84",,307.0,,"2014-06-01","MAM.SCBI.2014.06","NEON.MAM.D02.123695","MIPE","Microtus pennsylvanicus","species",," ","M","R","N",,,"adult","scrotal",,,,22.0,,,,27.00,,,"SCBI.20140601.123695.F","old","SCBI.20140601.123695.E",,,,"esNjjubcI51hdInmRHEEIrFR4+oIJtuN","wYCqaZcA+7u27D51Jl1kBrbZnYGv2DDh",,0,0,0,-1,0
"C12BF3FE21724EC8A57E7B26D26EE024","D02","SCBI","SCBI_035","I2","pastureHay",38.882451,-78.169514,"WGS84",,303.5,,"2014-06-01","MAM.SCBI.2014.06","NEON.MAM.D02.0R1068","ZAHU","Zapus hudsonius","species",," ","F","R","N",,,"adult",,"enlarged","not","neither",27.0,,,,20.00,"SCBI.20140601.R1068.B","mandibular","SCBI.20140601.R1068.F","fresh","SCBI.20140601.R1068.E",,,,"esNjjubcI51hdInmRHEEIrFR4+oIJtuN","wYCqaZcA+7u27D51Jl1kBrbZnYGv2DDh",,0,0,0,-1,0
"212846AE281E4FF8B1BE55C1DD8DA36B","D02","SCBI","SCBI_008","C10","deciduousForest",38.885997,-78.146655,"WGS84",,338.8,,"2014-06-01","MAM.SCBI.2014.06","NEON.MAM.D02.0R1067","PELE","Peromyscus leucopus","species",," ","F","R","N",,,"adult",,"enlarged","not","neither",19.0,,,,25.00,,"unsuccessful","SCBI.20140601.R1067.F","fresh","SCBI.20140601.R1067.E","SCBI.20140601.R1067.H","SCBI.20140601.R1067.H",,"+3rkFzjEI4fJdfNe5/4iIYKyantpbxQC","vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=",,0,0,0,-1,0
"78211CEA427E4ACB986C8E31DD898C4F","D02","SCBI","SCBI_008","F8","deciduousForest",38.886169,-78.146302,"WGS84",,338.7,,"2014-06-01","MAM.SCBI.2014.06","NEON.MAM.D02.0R1101","PELE","Peromyscus leucopus","species",," ","M","R","Y",,,"adult","scrotal",,,,,,,,,,,,,,,,,"+3rkFzjEI4fJdfNe5/4iIYKyantpbxQC","vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=",,0,0,0,-1,0
"2B365168049C4F239AEBF573F369807D","D02","SCBI","SCBI_008","I1","deciduousForest",38.886791,-78.145931,"WGS84",,338.0,,"2014-06-01","MAM.SCBI.2014.06","NEON.MAM.D02.0R1076","PELE","Peromyscus leucopus","species",," ","M","N","Y",,,"adult","nonscrotal",,,,19.0,,,,17.00,,,"SCBI.20140601.R1076.F","fresh",,,,,"+3rkFzjEI4fJdfNe5/4iIYKyantpbxQC","vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=",,0,0,0,-1,0
"3366586432F04085B4AEC00839D472AB","D02","SCBI","SCBI_004","J2","deciduousForest",38.898297,-78.144832,"WGS84",,253.5,,"2014-06-23","MAM.SCBI.2014.07","NEON.MAM.D02.0R1111","PELE","Peromyscus leucopus","species",," ","F","N","N",,,"adult",,"nonenlarged","not","neither",19.0,,,,15.00,,,"SCBI.20140623.R1111.F","fresh","SCBI.20140623.R1111.E","SCBI.20140623.R1111.H","SCBI.20140623.R1111.H",,"PJFp7Bz5yt0i7NbdgCZwd9JF8pNuCrFS","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0,-1,0
