"uid","domainID","siteID","plotID","trapCoordinate","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","date","eventID","individualID","taxonID","scientificName","taxonRank","identificationQualifier","identificationStatus","sex","reproductiveCondition","recapture","fate","replacedTag","lifeStage","testes","nipples","pregnancyStatus","vagina","hindfootLength","earLength","tailLength","totalLength","weight","bloodSampleID","bloodSampleMethod","fecalSampleID","fecalSampleCondition","earSampleID","hairSampleID","whiskerSampleID","voucherSampleID","measuredBy","recordedBy","remarks","consistencyTagIDSexQF","consistencyTagIDTaxonIDQF","consistencyTagIDLifeStageQF","orderTagIDRecaptureQF","orderTagIDLifeStageQF"
"CB77120EDFF24994B7134707FE5701FD","D02","SERC","SERC_015","E4","deciduousForest",38.899662,-76.557258,"WGS84",,19.9,,"2015-04-20","MAM.SERC.2015.04","NEON.MAM.D02.0R1091","ZAHU","Zapus hudsonius","species",," ","M","R","N",,,"adult","scrotal",,,,20.0,,,,29.00,"SERC.20150420.R1091.B","unsuccessful",,,"SERC.20150420.R1091.E",,,,"esNjjubcI51hdInmRHEEIrFR4+oIJtuN","WKwujoF6P3YAOkhzyJ/xP0/1URP18h18","animal cut arm, stopped bleeding attempt and collected miniscule amount of blood from arm. no visible wound. old scars on tail",0,0,0,-1,0
"C873A25EAE9348C2AC57FFD04B4FC419","D02","SERC","SERC_014","F2","deciduousForest",38.875008,-76.541154,"WGS84",,2.5,,"2015-04-20","MAM.SERC.2015.04","NEON.MAM.D02.0R1151","PELE","Peromyscus leucopus","species",," ","F","R","N",,,"adult",,"enlarged","not","neither",20.0,,,,19.00,,,"SERC.20150420.R1151.F","fresh","SERC.20150420.R1151.E","SERC.20150420.R1151.H","SERC.20150420.R1151.H",,"LZfT4DkrjuNhcuRfPbI0ue5Gw/sBOPYT","2CALKs4JNjmK3iYT4PUVEer6DObkBehF",,0,0,0,-1,0
"2BACB0C05AA942CA9F210774675923A7","D02","SERC","SERC_015","J3","deciduousForest",38.899759,-76.556684,"WGS84",,19.0,,"2015-04-20","MAM.SERC.2015.04","NEON.MAM.D02.0R1043","PELE","Peromyscus leucopus","species",," ","F","R","N",,,"adult",,"enlarged","pregnant","plugged",20.0,,,,19.00,"SERC.20150420.R1043.B","mandibular","SERC.20150420.R1043.F","fresh","SERC.20150420.R1043.E","SERC.20150420.R1043.H","SERC.20150420.R1043.H",,"esNjjubcI51hdInmRHEEIrFR4+oIJtuN","WKwujoF6P3YAOkhzyJ/xP0/1URP18h18",,0,0,0,-1,0
"3714E2233CAA45A485BDE98157ED63C5","D02","SERC","SERC_007","G5","cultivatedCrops",38.873537,-76.537915,"WGS84",,5.3,,"2015-04-20","MAM.SERC.2015.04","NEON.MAM.D02.0R1087","PELE","Peromyscus leucopus","species",," ","F","R","N",,,"adult",,"enlarged","pregnant","plugged",20.0,,,,20.00,"SERC.20150420.R1087.B","mandibular",,,"SERC.20150420.R1087.E","SERC.20150420.R1087.H","SERC.20150420.R1087.H",,"RlOX8m1RJrGsMFHBd3NULorySD7xJy3J","WKwujoF6P3YAOkhzyJ/xP0/1URP18h18",,0,0,0,-1,0
"252FE925B5C84881B38AF70F607ADA3B","D02","SERC","SERC_014","H1","deciduousForest",38.875101,-76.540928,"WGS84",,2.4,,"2015-04-20","MAM.SERC.2015.04","NEON.MAM.D02.0R1152","PELE","Peromyscus leucopus","species",," ","M","R","N",,,"adult","scrotal",,,,20.0,,,,20.00,,,"SERC.20150420.R1152.F","fresh","SERC.20150420.R1152.E","SERC.20150420.R1152.H","SERC.20150420.R1152.H",,"LZfT4DkrjuNhcuRfPbI0ue5Gw/sBOPYT","2CALKs4JNjmK3iYT4PUVEer6DObkBehF",,0,0,0,-1,0
"AB234F7EF6814C30A102DE09080B1A3D","D02","SERC","SERC_015","B2","deciduousForest",38.899837,-76.557608,"WGS84",,21.7,,"2015-04-20","MAM.SERC.2015.04","NEON.MAM.D02.0R1056","PELE","Peromyscus leucopus","species",," ","F","N","N",,,"adult",,"nonenlarged","not","neither",21.0,,,,19.00,"SERC.20150420.R1056.B","mandibular",,,"SERC.20150420.R1056.E","SERC.20150420.R1056.H","SERC.20150420.R1056.H",,"esNjjubcI51hdInmRHEEIrFR4+oIJtuN","WKwujoF6P3YAOkhzyJ/xP0/1URP18h18",,0,0,0,-1,0
"27DE5E90C2FA4641A3EC2F507FBD03AF","D02","SERC","SERC_015","F5","deciduousForest",38.899573,-76.557141,"WGS84",,19.4,,"2015-04-20","MAM.SERC.2015.04","NEON.MAM.D02.0R1093","PELE","Peromyscus leucopus","species",," ","M","R","N",,,"adult","scrotal",,,,20.0,,,,24.00,"SERC.20150420.R1093.B","mandibular","SERC.20150420.R1093.F","fresh","SERC.20150420.R1093.E","SERC.20150420.R1093.H","SERC.20150420.R1093.H",,"esNjjubcI51hdInmRHEEIrFR4+oIJtuN","WKwujoF6P3YAOkhzyJ/xP0/1URP18h18",,0,0,0,-1,0
"971EEFE594DA42E89B4E2F836CC41613","D02","SERC","SERC_014","E6","deciduousForest",38.874646,-76.541261,"WGS84",,3.0,,"2015-04-20","MAM.SERC.2015.04","NEON.MAM.D02.0R1150","PELE","Peromyscus leucopus","species",," ","F","R","N",,,"adult",,"enlarged","not","neither",21.0,,,,23.00,,,"SERC.20150420.R1150.F","fresh","SERC.20150420.R1150.E","SERC.20150420.R1150.H","SERC.20150420.R1150.H",,"LZfT4DkrjuNhcuRfPbI0ue5Gw/sBOPYT","2CALKs4JNjmK3iYT4PUVEer6DObkBehF",,0,0,0,-1,0
"3A1F3A9509BE49F8BB42A877B17F41E4","D02","SERC","SERC_007","F5","cultivatedCrops",38.873535,-76.538031,"WGS84",,5.3,,"2015-04-21","MAM.SERC.2015.04","NEON.MAM.D02.0R1087","PELE","Peromyscus leucopus","species",," ","F","R","Y",,,"adult",,"nonenlarged","not","plugged",19.0,,,,21.00,,,"SERC.20150421.R1087.F","fresh",,,,,"esNjjubcI51hdInmRHEEIrFR4+oIJtuN","WKwujoF6P3YAOkhzyJ/xP0/1URP18h18",,0,0,0,-1,0
"DB34F572A6D644F5B55C00EE7A890EB1","D02","SERC","SERC_015","I9","deciduousForest",38.899217,-76.556787,"WGS84",,16.5,,"2015-04-21","MAM.SERC.2015.04","NEON.MAM.D02.0R1047","PELE","Peromyscus leucopus","species",," ","M","R","N",,,"adult","scrotal",,,,20.0,,,,24.00,"SERC.20150421.R1047.B","mandibular","SERC.20150421.R1047.F","fresh","SERC.20150421.R1047.E","SERC.20150421.R1047.H","SERC.20150421.R1047.H",,"esNjjubcI51hdInmRHEEIrFR4+oIJtuN","WKwujoF6P3YAOkhzyJ/xP0/1URP18h18",,0,0,0,-1,0
"AAA31C9394B847328D355111149D762E","D02","SERC","SERC_014","E8","deciduousForest",38.874466,-76.541257,"WGS84",,3.4,,"2015-04-21","MAM.SERC.2015.04","NEON.MAM.D02.0R1152","PELE","Peromyscus leucopus","species",," ","M","R","Y",,,"adult","scrotal",,,,20.0,,,,19.00,,"unsuccessful","SERC.20150421.R1152.F","fresh",,,,,"LZfT4DkrjuNhcuRfPbI0ue5Gw/sBOPYT","2CALKs4JNjmK3iYT4PUVEer6DObkBehF",,0,0,0,-1,0
"FC1447A46E9246108A1D5B7C57647B6C","D02","SERC","SERC_015","I5","deciduousForest",38.899578,-76.556795,"WGS84",,18.0,,"2015-04-21","MAM.SERC.2015.04","NEON.MAM.D02.0R1043","PELE","Peromyscus leucopus","species",," ","F","R","Y",,,"adult",,"enlarged","pregnant","neither",21.0,,,,21.00,,,,,,,,,"esNjjubcI51hdInmRHEEIrFR4+oIJtuN","WKwujoF6P3YAOkhzyJ/xP0/1URP18h18",,0,0,0,-1,0
"619DE140F0E743558884A6F55E9DFBC0","D02","SERC","SERC_014","G7","deciduousForest",38.874559,-76.541029,"WGS84",,3.8,,"2015-04-21","MAM.SERC.2015.04","NEON.MAM.D02.0R1150","PELE","Peromyscus leucopus","species",," ","F","R","Y",,,"adult",,"enlarged","not","neither",,,,,21.00,,"unsuccessful",,,,,,,"LZfT4DkrjuNhcuRfPbI0ue5Gw/sBOPYT","2CALKs4JNjmK3iYT4PUVEer6DObkBehF",,0,0,0,-1,0
"162DB5E002FC440480135BB7F8540B2D","D02","SERC","SERC_014","H7","deciduousForest",38.874560,-76.540913,"WGS84",,3.8,,"2015-04-22","MAM.SERC.2015.04","NEON.MAM.D02.0R1150","PELE","Peromyscus leucopus","species",," ","F","R","Y",,,"adult",,"enlarged","not","neither",21.0,,,,21.00,,,,,,,,,"LZfT4DkrjuNhcuRfPbI0ue5Gw/sBOPYT","2CALKs4JNjmK3iYT4PUVEer6DObkBehF",,0,0,0,-1,0
