"uid","domainID","siteID","plotID","trapCoordinate","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","date","eventID","individualID","taxonID","scientificName","taxonRank","identificationQualifier","identificationStatus","sex","reproductiveCondition","recapture","fate","replacedTag","lifeStage","testes","nipples","pregnancyStatus","vagina","hindfootLength","earLength","tailLength","totalLength","weight","bloodSampleID","bloodSampleMethod","fecalSampleID","fecalSampleCondition","earSampleID","hairSampleID","whiskerSampleID","voucherSampleID","measuredBy","recordedBy","remarks","consistencyTagIDSexQF","consistencyTagIDTaxonIDQF","consistencyTagIDLifeStageQF","orderTagIDRecaptureQF","orderTagIDLifeStageQF"
"B171FAEE23C241AFBF1E7A5E4D6B3CF3","D03","DSNY","DSNY_005","G7","woodyWetlands",28.038947,-81.391698,"WGS84",,15.0,,"2014-06-03","MAM.DSNY.2014.06",,"REHU","Reithrodontomys humulis","species","cf. species"," ","F","N","N","escaped",,"adult",,"nonenlarged","not",,,,,,10.00,,,,,,,,,"4cqeLHiLe4hyy8sn+zfSLIDfctUtW0hJ","4L8ym37Asu+KsQosRbU6bIsf8XS1mmQL","Old Fecal sample taken but no ID # due to escape. Photos of animal taken on AHeupel's camera",-1,-1,-1,-1,-1
"91AE22DC87644F67B51E448491D0EE22","D03","DSNY","DSNY_004","H1","woodyWetlands",28.099843,-81.401171,"WGS84",,16.8,,"2014-06-03","MAM.DSNY.2014.06","NEON.MAM.D03.0R2408","SIHI","Sigmodon hispidus","species",," ","M","R","Y",,,"adult","scrotal",,,,31.0,,,,170.00,,,"DSNY.20140603.R2408.F","old",,,,,"EdHmhwKXqxyRw3LeFHC4BvFsm6jXDT8C","Sb8D4VxxoIjNRU2egFuiFmhpZdv5UFvW",,0,0,0,-1,0
"9A7AB0CD2D0F4E42BA7171E612AB74DC","D03","DSNY","DSNY_005","E9","woodyWetlands",28.038766,-81.391901,"WGS84",,15.0,,"2014-06-04","MAM.DSNY.2014.06","NEON.MAM.D03.0R2247","SIHI","Sigmodon hispidus","species",," ","M","N","Y",,,"adult","nonscrotal",,,,32.0,,,,90.00,,,"DSNY.20140604.R2247.F","old",,,,,"4cqeLHiLe4hyy8sn+zfSLIDfctUtW0hJ","4L8ym37Asu+KsQosRbU6bIsf8XS1mmQL","animal has shortened tail (old healed wound)",0,0,0,-1,0
"80A922AEECBF4BCDABE598CB48FE5715","D03","DSNY","DSNY_005","E10","woodyWetlands",28.038676,-81.391900,"WGS84",,15.0,,"2014-06-04","MAM.DSNY.2014.06","NEON.MAM.D03.0R2769","SIHI","Sigmodon hispidus","species",," ","F","N","N",,,"adult",,"nonenlarged","not","neither",30.0,,,,117.00,"DSNY.20140604.R2769.B","mandibular","DSNY.20140604.R2769.F","old","DSNY.20140604.R2769.E",,,,"4cqeLHiLe4hyy8sn+zfSLIDfctUtW0hJ","4L8ym37Asu+KsQosRbU6bIsf8XS1mmQL",,0,0,0,-1,0
"A296087E204445E9A014696CAF5548C6","D03","DSNY","DSNY_005","D10","woodyWetlands",28.038675,-81.392002,"WGS84",,15.0,,"2014-06-05","MAM.DSNY.2014.06","NEON.MAM.D03.0R2777","SIHI","Sigmodon hispidus","species",," ","M","N","N",,,"adult","nonscrotal",,,,30.0,,,,137.00,,,"DSNY.20140605.R2777.F","old","DSNY.20140605.R2777.E",,,,"4L8ym37Asu+KsQosRbU6bIsf8XS1mmQL","4cqeLHiLe4hyy8sn+zfSLIDfctUtW0hJ",,0,0,0,-1,0
"2AD6C32C9E284A8283315E957E97623A","D03","DSNY","DSNY_004","J3","woodyWetlands",28.099663,-81.400966,"WGS84",,16.8,,"2014-06-05","MAM.DSNY.2014.06","NEON.MAM.D03.0R2408","SIHI","Sigmodon hispidus","species",," ","M","R","Y",,,"adult","scrotal",,,,32.0,,,,161.00,,,"DSNY.20140605.R2408.F","old",,,,,"Sb8D4VxxoIjNRU2egFuiFmhpZdv5UFvW","F0OBrKFXXmZ8aUzIQU1wSVTXyT0KDtd2",,0,0,0,-1,0
"9375F255874A4DC4BCB4FF6849D74E44","D03","DSNY","DSNY_001","E6","woodyWetlands",28.097114,-81.417174,"WGS84",,17.2,,"2014-09-16","MAM.DSNY.2014.10","NEON.MAM.D03.0L1068","REHU","Reithrodontomys humulis","species",," ","F","N","N",,,"juvenile",,,"not",,15.0,,60.0,,8.00,,,"DSNY.20140916.L1068.F","fresh","DSNY.20140916.L1068.E",,,,"F0OBrKFXXmZ8aUzIQU1wSVTXyT0KDtd2","EdHmhwKXqxyRw3LeFHC4BvFsm6jXDT8C","just a wee babe. Pinkish underbelly, grooved incisors",0,0,0,-1,0
"BB3CDA7D0EF646289695B7E34220813F","D03","DSNY","DSNY_004","I2","woodyWetlands",28.099753,-81.401069,"WGS84",,16.8,,"2014-09-16","MAM.DSNY.2014.10","NEON.MAM.D03.0R1093","SIHI","Sigmodon hispidus","species",," ","M","R","N",,,"adult","scrotal",,,,32.0,,,,225.00,"DSNY.20140916.R1093.B","mandibular",,,"DSNY.20140916.R1093.E",,,,"F0OBrKFXXmZ8aUzIQU1wSVTXyT0KDtd2","EdHmhwKXqxyRw3LeFHC4BvFsm6jXDT8C",,0,0,0,-1,0
"C8E17BE3B3924BA287B131D0D36D9287","D03","DSNY","DSNY_004","G2","woodyWetlands",28.099753,-81.401272,"WGS84",,16.8,,"2014-09-17","MAM.DSNY.2014.10",,"SIHI","Sigmodon hispidus","species",," ",,"N","Y","escaped",,,,,"not",,,,,,,,,,,,,,,"4cqeLHiLe4hyy8sn+zfSLIDfctUtW0hJ","F0OBrKFXXmZ8aUzIQU1wSVTXyT0KDtd2","Probably the same as yesterday",-1,-1,-1,-1,-1
"4AA4954D82AA43808167CBD9E70146B2","D03","DSNY","DSNY_004","H2","woodyWetlands",28.099753,-81.401170,"WGS84",,16.8,,"2014-09-18","MAM.DSNY.2014.10","NEON.MAM.D03.0R2085","PEGO","Peromyscus gossypinus","species",," ","F","N","Y",,,"adult",,"nonenlarged","not","neither",22.0,,,,25.00,"DSNY.20140918.R2085.B","mandibular","DSNY.20140918.R2085.F","fresh",,,,,"4cqeLHiLe4hyy8sn+zfSLIDfctUtW0hJ","F0OBrKFXXmZ8aUzIQU1wSVTXyT0KDtd2",,0,0,0,-1,0
"2D39B0BF35134F37ADB58CDE96DD11B5","D03","DSNY","DSNY_004","J7","woodyWetlands",28.099302,-81.400965,"WGS84",,16.8,,"2014-09-18","MAM.DSNY.2014.10","NEON.MAM.D03.0R1093","SIHI","Sigmodon hispidus","species",," ","M","R","Y",,,"adult","scrotal",,,,31.0,,,,210.00,,,"DSNY.20140918.R1093.F","old",,,,,"4cqeLHiLe4hyy8sn+zfSLIDfctUtW0hJ","F0OBrKFXXmZ8aUzIQU1wSVTXyT0KDtd2",,0,0,0,-1,0
