"uid","domainID","siteID","plotID","trapCoordinate","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","date","eventID","individualID","taxonID","scientificName","taxonRank","identificationQualifier","identificationStatus","sex","reproductiveCondition","recapture","fate","replacedTag","lifeStage","testes","nipples","pregnancyStatus","vagina","hindfootLength","earLength","tailLength","totalLength","weight","bloodSampleID","bloodSampleMethod","fecalSampleID","fecalSampleCondition","earSampleID","hairSampleID","whiskerSampleID","voucherSampleID","measuredBy","recordedBy","remarks","consistencyTagIDSexQF","consistencyTagIDTaxonIDQF","consistencyTagIDLifeStageQF","orderTagIDRecaptureQF","orderTagIDLifeStageQF"
"C9093795029F43A5BC29720F92484DB6","D03","JERC","JERC_009","H5","evergreenForest",31.194273,-84.455274,"WGS84",,47.2,,"2014-06-25","MAM.JERC.2014.07","NEON.MAM.D03.0R2116","PEGO","Peromyscus gossypinus","species",," ","F","N","Y",,,"adult",,"nonenlarged","not","neither",20.0,,,,26.00,"JERC.20140625.R2116.B","mandibular","JERC.20140625.R2116.F","fresh",,"JERC.20140625.R2116.H","JERC.20140625.R2116.H",,"v7a5KMTkFH5/mKQ1JnriiQ6u8CRxI7iC","SZd6jJU+PWukgvziuyetpzviWNuM2FzT",,0,0,0,-1,0
"7620CC2DC380472798821260F0ABB60C","D03","JERC","JERC_009","G4","evergreenForest",31.194365,-84.455377,"WGS84",,47.2,,"2014-06-25","MAM.JERC.2014.07",,"SIHI","Sigmodon hispidus","species",," ",,"N","N","escaped",,,,,"not",,,,,,,,,,,,,,,"v7a5KMTkFH5/mKQ1JnriiQ6u8CRxI7iC","SZd6jJU+PWukgvziuyetpzviWNuM2FzT",,-1,-1,-1,-1,-1
"E535ED2CC6AC48969C68158402AC5EC2","D03","JERC","JERC_009","I3","evergreenForest",31.194451,-84.455164,"WGS84",,47.2,,"2014-06-25","MAM.JERC.2014.07","NEON.MAM.D03.0R2456","SIHI","Sigmodon hispidus","species",," ","F","N","N",,,"juvenile",,"nonenlarged","not","neither",30.0,,,,54.00,"JERC.20140625.R2456.B","mandibular","JERC.20140625.R2456.F","old","JERC.20140625.R2456.E",,,,"v7a5KMTkFH5/mKQ1JnriiQ6u8CRxI7iC","SZd6jJU+PWukgvziuyetpzviWNuM2FzT","blood taken with hair in it",-1,0,0,-1,0
"0C862E22BFBB4C5D9537F5DFF99EB2B3","D03","JERC","JERC_009","I7","evergreenForest",31.194091,-84.455174,"WGS84",,47.2,,"2014-06-25","MAM.JERC.2014.07","NEON.MAM.D03.0R2086","SIHI","Sigmodon hispidus","species",," ","M","R","N",,,"juvenile","scrotal",,,,30.0,,,,70.00,,"unsuccessful","JERC.20140625.R2086.F","fresh","JERC.20140625.R2086.E",,,,"v7a5KMTkFH5/mKQ1JnriiQ6u8CRxI7iC","SZd6jJU+PWukgvziuyetpzviWNuM2FzT",,0,0,1,-1,1
"F468F0C145B64E549ED5582A69F4670B","D03","JERC","JERC_005","H10","evergreenForest",31.196840,-84.451293,"WGS84",,48.4,,"2014-06-25","MAM.JERC.2014.07",,"SIHI","Sigmodon hispidus","species",," ",,"N","N","escaped",,,,,"not",,,,,,,,,,,,,,,"F0OBrKFXXmZ8aUzIQU1wSVTXyT0KDtd2","4L8ym37Asu+KsQosRbU6bIsf8XS1mmQL",,-1,-1,-1,-1,-1
"CE6046C295BF42CEABF2A562F1D8AE93","D03","JERC","JERC_009","J4","evergreenForest",31.194359,-84.455062,"WGS84",,47.3,,"2014-06-25","MAM.JERC.2014.07","NEON.MAM.D03.0R2482","SIHI","Sigmodon hispidus","species",," ","M","R","Y",,"L","adult","scrotal",,,,29.0,,,,140.00,"JERC.20140625.R2482.B","mandibular","JERC.20140625.R2482.F","fresh",,,,,"v7a5KMTkFH5/mKQ1JnriiQ6u8CRxI7iC","SZd6jJU+PWukgvziuyetpzviWNuM2FzT","Recapped. Replaced ear tag left ear. Right ear torn. De-loved. ",0,0,0,-1,0
"330D088305A245EBA5A70EC191A09354","D03","JERC","JERC_005","B1","evergreenForest",31.197664,-84.451900,"WGS84",,48.2,,"2014-06-25","MAM.JERC.2014.07","NEON.MAM.D03.0R2484","PEGO","Peromyscus gossypinus","species",," ","M","N","N",,,"adult","nonscrotal",,,,21.0,,,,23.00,,"unsuccessful",,,,"JERC.20140625.R2484.H","JERC.20140625.R2484.H",,"F0OBrKFXXmZ8aUzIQU1wSVTXyT0KDtd2","4L8ym37Asu+KsQosRbU6bIsf8XS1mmQL",,0,0,0,-1,0
"59D4C0BE4FFB43AC812106D711013DCA","D03","JERC","JERC_009","J10","evergreenForest",31.193818,-84.455077,"WGS84",,47.2,,"2014-06-25","MAM.JERC.2014.07","NEON.MAM.D03.0R2079","SIHI","Sigmodon hispidus","species",," ","M","R","N",,,"adult","scrotal",,,,32.0,,,,130.00,"JERC.20140625.R2079.B","mandibular","JERC.20140625.R2079.F","fresh","JERC.20140625.R2079.E",,,,"v7a5KMTkFH5/mKQ1JnriiQ6u8CRxI7iC","SZd6jJU+PWukgvziuyetpzviWNuM2FzT","left ear torn and bleeding",0,0,0,-1,0
"5E83B1DF966242228C0178C2B69E31BC","D03","JERC","JERC_005","E8","evergreenForest",31.197027,-84.451602,"WGS84",,48.3,,"2014-06-25","MAM.JERC.2014.07","NEON.MAM.D03.0R2770","MUMU","Mus musculus","species",," ","M","R","N",,,"adult","scrotal",,,,16.0,,,,20.00,,,,,"JERC.20140625.R2770.E",,,,"F0OBrKFXXmZ8aUzIQU1wSVTXyT0KDtd2","4L8ym37Asu+KsQosRbU6bIsf8XS1mmQL",,0,0,0,-1,0
"9DC2F8BE677749C586A0F08780D307E2","D03","JERC","JERC_005","B9","evergreenForest",31.196943,-84.451919,"WGS84",,48.3,,"2014-06-25","MAM.JERC.2014.07","NEON.MAM.D03.0R2492","PEGO","Peromyscus gossypinus","species",," ","F","N","Y",,,"adult",,"nonenlarged","not","neither",20.0,,,,22.00,"JERC.20140625.R2492.B","mandibular","JERC.20140625.R2492.F","fresh",,"JERC.20140625.R2492.H","JERC.20140625.R2492.H",,"F0OBrKFXXmZ8aUzIQU1wSVTXyT0KDtd2","4L8ym37Asu+KsQosRbU6bIsf8XS1mmQL","fat but can't feel any babies - possibly too soon to tell?",0,0,0,-1,0
"D7037F15ECB74CEBBDD9736AF4329602","D03","JERC","JERC_006","J8","mixedForest",31.188057,-84.453970,"WGS84",,46.4,,"2014-06-25","MAM.JERC.2014.07","NEON.MAM.D03.0R2113","PEGO","Peromyscus gossypinus","species",," ","F","N","Y",,,"adult",,"nonenlarged","not",,21.0,,,,20.00,,,"JERC.20140625.R2113.F","fresh",,"JERC.20140625.R2113.H","JERC.20140625.R2113.H",,"v7a5KMTkFH7DgaRo46hfflVQQqwuV2HD","SZd6jJU+PWukgvziuyetpzviWNuM2FzT",,0,0,0,-1,0
"B2472F517E0C428ABEC2433FA8090052","D03","JERC","JERC_006","I3","mixedForest",31.188510,-84.454063,"WGS84",,46.5,,"2014-06-25","MAM.JERC.2014.07","NEON.MAM.D03.0L2435","SIHI","Sigmodon hispidus","species",," ","F","N","N",,,"adult",,"nonenlarged","not",,29.0,,,,180.00,,,,,"JERC.20140625.L2435.E",,,,"v7a5KMTkFH7DgaRo46hfflVQQqwuV2HD","SZd6jJU+PWukgvziuyetpzviWNuM2FzT",,0,0,0,-1,0
"B281A2D10E4849FD91D111103A54DC02","D03","JERC","JERC_006","H2","mixedForest",31.188602,-84.454165,"WGS84",,46.5,,"2014-06-25","MAM.JERC.2014.07","NEON.MAM.D03.0R2182","PEPO","Peromyscus polionotus","species",," ","F","N","Y",,,"adult",,"nonenlarged","not","neither",16.0,,,,13.00,,,"JERC.20140625.R2182.F","fresh",,"JERC.20140625.R2182.H","JERC.20140625.R2182.H",,"v7a5KMTkFH7DgaRo46hfflVQQqwuV2HD","SZd6jJU+PWukgvziuyetpzviWNuM2FzT",,0,0,0,-1,0
"360D1F41F27D458399C284DFDB86A309","D03","JERC","JERC_006","F7","mixedForest",31.188155,-84.454387,"WGS84",,46.4,,"2014-06-25","MAM.JERC.2014.07","NEON.MAM.D03.0L2476","SIHI","Sigmodon hispidus","species",," ","M","N","N",,,"juvenile","nonscrotal",,,,27.0,,,,55.00,,,"JERC.20140625.L2476.F","old","JERC.20140625.L2476.E",,,,"v7a5KMTkFH7DgaRo46hfflVQQqwuV2HD","SZd6jJU+PWukgvziuyetpzviWNuM2FzT",,0,0,0,-1,0
"2984CFBAE06A42ABB381BE486E31C95B","D03","JERC","JERC_006","J5","mixedForest",31.188327,-84.453963,"WGS84",,46.4,,"2014-06-25","MAM.JERC.2014.07","NEON.MAM.D03.0L2431","SIHI","Sigmodon hispidus","species",," ","F","N","N",,,"juvenile",,"nonenlarged","not","neither",27.0,,,,70.00,,,"JERC.20140625.L2431.F","old","JERC.20140625.L2431.E",,,,"v7a5KMTkFH7DgaRo46hfflVQQqwuV2HD","SZd6jJU+PWukgvziuyetpzviWNuM2FzT",,0,0,0,-1,0
"CDF62B6AC80D42FCA51F43C6A0FC6B65","D03","JERC","JERC_006","A8","mixedForest",31.188075,-84.454913,"WGS84",,46.4,,"2014-06-25","MAM.JERC.2014.07","NEON.MAM.D03.0R2152","PEPO","Peromyscus polionotus","species",," ","F","N","Y",,,"adult",,"nonenlarged","not","neither",16.0,,,,13.00,,,"JERC.20140625.R2152.F","fresh",,"JERC.20140625.R2152.H","JERC.20140625.R2152.H",,"v7a5KMTkFH7DgaRo46hfflVQQqwuV2HD","SZd6jJU+PWukgvziuyetpzviWNuM2FzT",,0,0,0,-1,0
