"uid","domainID","siteID","plotID","trapCoordinate","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","date","eventID","individualID","taxonID","scientificName","taxonRank","identificationQualifier","identificationStatus","sex","reproductiveCondition","recapture","fate","replacedTag","lifeStage","testes","nipples","pregnancyStatus","vagina","hindfootLength","earLength","tailLength","totalLength","weight","bloodSampleID","bloodSampleMethod","fecalSampleID","fecalSampleCondition","earSampleID","hairSampleID","whiskerSampleID","voucherSampleID","measuredBy","recordedBy","remarks","consistencyTagIDSexQF","consistencyTagIDTaxonIDQF","consistencyTagIDLifeStageQF","orderTagIDRecaptureQF","orderTagIDLifeStageQF"
"38406C80DC29484398A20E93008F7F52","D03","OSBS","OSBS_004","J3","evergreenForest",29.683146,-81.957671,"WGS84",,39.8,,"2014-06-18","MAM.OSBS.2014.07","NEON.MAM.D03.0L2013","POFL","Podomys floridanus","species",," ","M","N","Y",,,"adult","nonscrotal",,,,24.0,,,,25.00,,,"OSBS.20140618.L2013.F","fresh",,,,,"QmHsE0sWGjpyLKGdj5TY520MxvXfHQDS2BsRKrGnqpM=","5DgdPLlMgjaR2O77F10sUDRhg75PRbnT",,0,0,0,-1,0
"64EFADC311164CF9A423BBE8CA37E8A2","D03","OSBS","OSBS_004","C2","evergreenForest",29.683231,-81.958396,"WGS84",,39.9,,"2014-06-18","MAM.OSBS.2014.07","NEON.MAM.D03.0R1017","POFL","Podomys floridanus","species",," ","F","N","Y",,,"adult",,"nonenlarged","not","neither",30.0,,,,32.00,,,"OSBS.20140618.R1017.F","old",,,,,"QmHsE0sWGjpyLKGdj5TY520MxvXfHQDS2BsRKrGnqpM=","5DgdPLlMgjaR2O77F10sUDRhg75PRbnT",,0,0,0,-1,0
"A910490E273D4E5BB31E65412E790D28","D03","OSBS","OSBS_002","D3","evergreenForest",29.705280,-81.956355,"WGS84",,32.0,,"2014-06-18","MAM.OSBS.2014.07","NEON.MAM.D03.0L2245","POFL","Podomys floridanus","species",," ","M","R","Y",,,"adult","scrotal",,,,24.0,,,,41.00,,,"OSBS.20140618.L2245.F","fresh",,,,,"4cqeLHiLe4gLDDT1aPeC5HAoHE1jibPr","DCSbvLoRWMyIwKn5/LbtNIKQIsZOfV00",,0,0,0,-1,0
"172576F22CE147159FC6346787AFF706","D03","OSBS","OSBS_002","G4","evergreenForest",29.705192,-81.956044,"WGS84",,32.0,,"2014-06-18","MAM.OSBS.2014.07","NEON.MAM.D03.0R2105","POFL","Podomys floridanus","species",," ","F","N","Y",,,"subadult",,,"not",,24.0,,,,25.00,,,"OSBS.20140618.R2105.F","fresh",,,,,"4cqeLHiLe4gLDDT1aPeC5HAoHE1jibPr","DCSbvLoRWMyIwKn5/LbtNIKQIsZOfV00",,0,0,0,-1,0
"8452FAEA13914605B2C6F273C2606B65","D03","OSBS","OSBS_012","D4","woodyWetlands",29.720196,-81.985098,"WGS84",,32.1,,"2014-06-18","MAM.OSBS.2014.07","NEON.MAM.D03.0L2725","SIHI","Sigmodon hispidus","species",," ","M","R","Y",,"Left","adult","scrotal",,,,30.0,,,,85.00,,"unsuccessful","OSBS.20140618.L2725.F","fresh",,,,,"v7a5KMTkFH7DgaRo46hfflVQQqwuV2HD","JdN6ZmAx7oWmgJTT7ZCkIiDetk5BQ8MqI0IpeCDHq2o=","blood not collect b/c not bleeding site.  Also, a recapture that needed eartag replaced, no previous tag # available",0,0,0,-1,0
"FCE624F55577447985EB631252E17205","D03","OSBS","OSBS_003","H9","evergreenForest",29.694666,-81.945317,"WGS84",,32.0,,"2014-06-18","MAM.OSBS.2014.07","NEON.MAM.D03.0R1096","PEGO","Peromyscus gossypinus","species",," ","F","N","N",,,"subadult",,,"not",,19.0,,,,19.00,"OSBS.20140618.R1096.B","mandibular","OSBS.20140618.R1096.F","fresh","OSBS.20140618.R1096.E","OSBS.20140618.R1096.H","OSBS.20140618.R1096.H",,"4cqeLHiLe4gLDDT1aPeC5HAoHE1jibPr","DCSbvLoRWMyIwKn5/LbtNIKQIsZOfV00","Not dead!",0,0,0,-1,0
"A5AF0329546E4834999DFAC75DCEB5C4","D03","OSBS","OSBS_003","A4","evergreenForest",29.695112,-81.946045,"WGS84",,32.0,,"2014-06-18","MAM.OSBS.2014.07","NEON.MAM.D03.0R2287","POFL","Podomys floridanus","species",," ","M","R","Y",,,"adult","scrotal",,,,27.0,,,,36.00,"OSBS.20140618.R2287.B","mandibular","OSBS.20140618.R2287.F","old",,,,,"4cqeLHiLe4gLDDT1aPeC5HAoHE1jibPr","DCSbvLoRWMyIwKn5/LbtNIKQIsZOfV00",,0,0,0,-1,0
"54DE890D0B7B46E7BBB8209A9A46FC3C","D03","OSBS","OSBS_003","J1","evergreenForest",29.695389,-81.945117,"WGS84",,32.0,,"2014-06-18","MAM.OSBS.2014.07","NEON.MAM.D03.0R2231","POFL","Podomys floridanus","species",," ","M","R","Y",,,"adult","scrotal",,,,25.0,,,,35.00,"OSBS.20140618.R2231.B","mandibular",,,,,,,"4cqeLHiLe4gLDDT1aPeC5HAoHE1jibPr","DCSbvLoRWMyIwKn5/LbtNIKQIsZOfV00","Left to recover in box in brush at J1 (bled out ear)",0,0,0,-1,0
"E2AB4DA925F24DB78C07478D94E4693B","D03","OSBS","OSBS_002","J1","evergreenForest",29.705465,-81.955736,"WGS84",,32.0,,"2014-06-18","MAM.OSBS.2014.07","NEON.MAM.D03.0L2209","POFL","Podomys floridanus","species",," ","F","R","Y",,,"adult",,"enlarged","not",,23.0,,,,,,,"OSBS.20140618.L2209.F","fresh",,"OSBS.20140618.L2209.H","OSBS.20140618.L2209.H",,"4cqeLHiLe4gLDDT1aPeC5HAoHE1jibPr","DCSbvLoRWMyIwKn5/LbtNIKQIsZOfV00",,0,1,0,-1,0
"8A4974D3A6F2438A9A66148DD66779C1","D03","OSBS","OSBS_002","H2","evergreenForest",29.705373,-81.955942,"WGS84",,32.0,,"2014-06-18","MAM.OSBS.2014.07","NEON.MAM.D03.0L2284","POFL","Podomys floridanus","species",," ","M","R","Y",,,"adult","scrotal",,,,25.0,,,,31.00,,,"OSBS.20140618.L2284.F","fresh",,,,,"4cqeLHiLe4gLDDT1aPeC5HAoHE1jibPr","DCSbvLoRWMyIwKn5/LbtNIKQIsZOfV00",,0,0,0,-1,0
