"uid","domainID","siteID","plotID","trapCoordinate","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","date","eventID","individualID","taxonID","scientificName","taxonRank","identificationQualifier","identificationStatus","sex","reproductiveCondition","recapture","fate","replacedTag","lifeStage","testes","nipples","pregnancyStatus","vagina","hindfootLength","earLength","tailLength","totalLength","weight","bloodSampleID","bloodSampleMethod","fecalSampleID","fecalSampleCondition","earSampleID","hairSampleID","whiskerSampleID","voucherSampleID","measuredBy","recordedBy","remarks","consistencyTagIDSexQF","consistencyTagIDTaxonIDQF","consistencyTagIDLifeStageQF","orderTagIDRecaptureQF","orderTagIDLifeStageQF"
"1EC327C468344E528D5EC56B14CA2E6D","D05","UNDE","UNDE_001","G5",,46.235393,-89.558942,"WGS84",,507.0,,"2014-07-26","MAM.UNDE.2014.08","NEON.MAM.D05.0R1177","PEMA","Peromyscus maniculatus","species","cf. species"," ","F","R","N",,,"adult",,"enlarged","not","neither",21.0,17.0,85.0,150.0,29.00,,,"UNDE.20140726.R1177.F","fresh","UNDE.20140726.R1177.E","UNDE.20140726.R1177.H","UNDE.20140726.R1177.H",,"8VgYQNYd2hfIfpDikn+YVC7x9y2g8nmP","rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX","Ear and fecal samples not labeled in the field. Relatively certain of ID based on order vials occurred.",0,0,0,-1,0
"6280136DC0D14D488D59F8FFCC501C37","D05","UNDE","UNDE_003","G2",,46.255267,-89.535041,"WGS84",,504.0,,"2014-07-26","MAM.UNDE.2014.08","NEON.MAM.D05.972791","MYGA","Myodes gapperi","species",," ","F","R","N",,,"adult",,"enlarged","not",,19.0,,,,24.00,,,"UNDE.20140726.972791.F","old","UNDE.20140726.972791.E",,,,"8VgYQNYd2hfIfpDikn+YVC7x9y2g8nmP","rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX","Also added ear tag R1178",0,0,0,-1,0
"198F499208E3461CA60CDB5CCA98BDF0","D05","UNDE","UNDE_032","A1",,46.244415,-89.537423,"WGS84",,504.0,,"2014-07-26","MAM.UNDE.2014.08","NEON.MAM.D05.0R1015","PEMA","Peromyscus maniculatus","species","cf. species"," ","F","R","N",,,"adult",,"enlarged","not","swollen",20.0,18.0,87.0,,22.00,"UNDE.20140726.R1015.B","mandibular","UNDE.20140726.R1015.F","fresh","UNDE.20140726.R1015.E","UNDE.20140726.R1015.H","UNDE.20140726.R1015.H",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59",,0,0,0,-1,0
"7188636D38F14DCFBE5FD93C9BC89BF7","D05","UNDE","UNDE_032","J8",,46.243684,-89.536365,"WGS84",,504.0,,"2014-07-26","MAM.UNDE.2014.08","NEON.MAM.D05.0R1023","PELE","Peromyscus leucopus","species","cf. species"," ","M","N","N",,,"juvenile",,,,,21.0,16.0,81.0,,12.00,,"unsuccessful","UNDE.20140726.R1023.F","fresh","UNDE.20140726.R1023.E","UNDE.20140726.R1023.H","UNDE.20140726.R1023.H",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59","Flashed blood, not enough for collection",0,0,0,-1,0
"D87F33E9002B4051886F704EF2FB48B4","D05","UNDE","UNDE_032","E10",,46.243559,-89.537047,"WGS84",,504.0,,"2014-07-26","MAM.UNDE.2014.08","NEON.MAM.D05.0R1016","PELE","Peromyscus leucopus","species","cf. species"," ","F","N","N",,,"juvenile",,,"not",,21.0,14.0,80.0,,13.00,,"unsuccessful","UNDE.20140726.R1016.F","old","UNDE.20140726.R1016.E","UNDE.20140726.R1016.H","UNDE.20140726.R1016.H",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59","Flashed blood, not enough for collection",0,0,0,-1,0
"36477C83D821420B834B170A8BAE75B4","D05","UNDE","UNDE_032","A8",,46.243784,-89.537535,"WGS84",,504.0,,"2014-07-26","MAM.UNDE.2014.08","NEON.MAM.D05.0L1014","PEMA","Peromyscus maniculatus","species","cf. species"," ","F","N","N",,,"juvenile",,,"not",,20.0,17.0,80.0,,14.00,"UNDE.20140726.L1014.B","mandibular","UNDE.20140726.L1014.F","fresh","UNDE.20140726.L1014.E","UNDE.20140726.L1014.H","UNDE.20140726.L1014.H",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59",,0,0,0,-1,0
"D61E9CDA5506410E8A7A9334C4E35C0F","D05","UNDE","UNDE_032","H10",,46.243525,-89.536657,"WGS84",,504.0,,"2014-07-26","MAM.UNDE.2014.08","NEON.MAM.D05.0R1017","PEMA","Peromyscus maniculatus","species","cf. species"," ","F","R","N",,,"adult",,"enlarged","pregnant","swollen",20.0,18.0,91.0,,26.00,"UNDE.20140726.R1017.B","mandibular","UNDE.20140726.R1017.F","fresh","UNDE.20140726.R1017.E","UNDE.20140726.R1017.H","UNDE.20140726.R1017.H",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59",,0,0,0,-1,0
"7C215848E4F8419A91388463476B07F8","D05","UNDE","UNDE_032","J8",,46.243684,-89.536365,"WGS84",,504.0,,"2014-07-26","MAM.UNDE.2014.08","NEON.MAM.D05.0R1022","PELE","Peromyscus leucopus","species","cf. species"," ","F","N","N",,,"juvenile",,,"not",,20.0,17.0,79.0,,13.00,"UNDE.20140726.R1022.B","mandibular","UNDE.20140726.R1022.F","fresh","UNDE.20140726.R1022.E","UNDE.20140726.R1022.H","UNDE.20140726.R1022.H",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59","Flashed blood, not enough for collection",0,0,0,-1,0
"F78A1A9D60E242608A1A46685849C78E","D05","UNDE","UNDE_032","I9",,46.243605,-89.536511,"WGS84",,504.0,,"2014-07-26","MAM.UNDE.2014.08","NEON.MAM.D05.0L1020","PEMA","Peromyscus maniculatus","species","cf. species"," ","M","N","N",,,"adult","nonscrotal",,,,19.0,19.0,89.0,,21.00,"UNDE.20140726.L1020.B","mandibular","UNDE.20140726.L1020.F","fresh","UNDE.20140726.L1020.E","UNDE.20140726.L1020.H","UNDE.20140726.L1020.H",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59",,0,0,0,-1,0
"C39E60ECCFFA47F6B6FCA4DD05EE5B23","D05","UNDE","UNDE_001","C10",,46.234986,-89.559542,"WGS84",,507.0,,"2014-07-26","MAM.UNDE.2014.08","NEON.MAM.D05.0R1175","PELE","Peromyscus leucopus","species","cf. species"," ","M","N","N",,,"adult","nonscrotal",,,,21.0,12.0,80.0,145.0,17.00,,,"UNDE.20140726.R1175.F","old","UNDE.20140726.R1175.E","UNDE.20140726.R1175.H","UNDE.20140726.R1175.H",,"8VgYQNYd2hfIfpDikn+YVC7x9y2g8nmP","rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX","Ear and fecal samples not labeled in the field. Relatively certain of ID based on order vials occurred.",0,1,1,-1,1
