"uid","domainID","siteID","plotID","trapCoordinate","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","date","eventID","individualID","taxonID","scientificName","taxonRank","identificationQualifier","identificationStatus","sex","reproductiveCondition","recapture","fate","replacedTag","lifeStage","testes","nipples","pregnancyStatus","vagina","hindfootLength","earLength","tailLength","totalLength","weight","bloodSampleID","bloodSampleMethod","fecalSampleID","fecalSampleCondition","earSampleID","hairSampleID","whiskerSampleID","voucherSampleID","measuredBy","recordedBy","remarks","consistencyTagIDSexQF","consistencyTagIDTaxonIDQF","consistencyTagIDLifeStageQF","orderTagIDRecaptureQF","orderTagIDLifeStageQF"
"D4ABA224CDE04CF285EB572C4F95BEFB","D08","TALL","TALL_031","A2","evergreenForest",32.899275,-87.387877,"WGS84",,132.9,,"2014-06-01","MAM.TALL.2014.06","NEON.MAM.D08.0R1027","PELE","Peromyscus leucopus","species",," ","F","N","N",,,"juvenile",,"nonenlarged","not","neither",16.0,13.0,56.0,129.0,15.00,"TALL.20140601.R1027.B","mandibular","TALL.20140601.R1027.F","fresh","TALL.20140601.R1027.E","TALL.20140601.R1027.H","TALL.20140601.R1027.H",,"v7wRdnV1gD6DA7NUoRhtXNeAYtN2k0WN","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg",,0,0,0,-1,0
"299EF01102E9412DBF4C4D115A0943EC","D08","TALL","TALL_012","E3","mixedForest",32.918224,-87.397403,"WGS84",,140.0,,"2014-06-01","MAM.TALL.2014.06","NEON.MAM.D08.0R1099","PEGO","Peromyscus gossypinus","species",," ","M","N","N",,,"adult","nonscrotal",,,,23.0,17.0,74.0,165.0,27.00,"TALL.20140601.R1099.B","mandibular",,,"TALL.20140601.R1099.E","TALL.20140601.R1099.H","TALL.20140601.R1099.H",,"v7wRdnV1gD6DA7NUoRhtXNeAYtN2k0WN","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg",,0,0,0,-1,0
"1643199C214E40EBBF1F4374B996033C","D08","TALL","TALL_031","A10","evergreenForest",32.898554,-87.387874,"WGS84",,134.1,,"2014-06-01","MAM.TALL.2014.06","NEON.MAM.D08.0R1026","PELE","Peromyscus leucopus","species",," ","F","R","N",,,"adult",,"enlarged","not","plugged",19.0,16.0,60.0,143.0,16.00,"TALL.20140601.R1026.B","mandibular","TALL.20140601.R1026.F","fresh","TALL.20140601.R1026.E","TALL.20140601.R1026.H","TALL.20140601.R1026.H",,"v7wRdnV1gD6DA7NUoRhtXNeAYtN2k0WN","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg",,-1,0,1,-1,0
"8B6E1193972247178C1D8A7C58AC1B4D","D08","TALL","TALL_024","F2","deciduousForest",32.923555,-87.420190,"WGS84",,125.8,,"2014-06-01","MAM.TALL.2014.06","NEON.MAM.D08.0R1119","PELE","Peromyscus leucopus","species",," ","M","R","N",,,"adult","scrotal",,,,20.0,18.0,71.0,152.0,25.00,"TALL.20140601.R1119.B","mandibular","TALL.20140601.R1119.F","old","TALL.20140601.R1119.E","TALL.20140601.R1119.H","TALL.20140601.R1119.H",,"1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f","uXSN77Q7x9cACyt+x8PEhxuBjTDRBKZV",,0,0,0,-1,0
"BE5EDE74D3DB4922B6476E5B509D35BF","D08","TALL","TALL_012","I10","mixedForest",32.917594,-87.396973,"WGS84",,140.4,,"2014-06-01","MAM.TALL.2014.06","NEON.MAM.D08.0R1060","PELE","Peromyscus leucopus","species",," ","M","N","N",,,"adult","nonscrotal",,,,22.0,16.0,71.0,160.0,20.00,"TALL.20140601.R1060.B","mandibular",,,"TALL.20140601.R1060.E","TALL.20140601.R1060.H","TALL.20140601.R1060.H",,"v7wRdnV1gD6DA7NUoRhtXNeAYtN2k0WN","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg",,0,0,0,-1,0
"F693A167E36C48FF8B102DE44BA8EC20","D08","TALL","TALL_024","H1","deciduousForest",32.923646,-87.419976,"WGS84",,126.2,,"2014-06-01","MAM.TALL.2014.06",,"CRPA","Cryptotis parva","species","cf. species"," ",,"N","N","nontarget",,,,,"not",,,,,,,,,,,,,,,"1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f","uXSN77Q7x9cACyt+x8PEhxuBjTDRBKZV",,-1,-1,-1,-1,-1
"E5634B5B3BF145CB8E6915DE070FCC80","D08","TALL","TALL_031","J10","evergreenForest",32.898557,-87.386912,"WGS84",,135.1,,"2014-06-01","MAM.TALL.2014.06","NEON.MAM.D08.0R1098","PELE","Peromyscus leucopus","species",," ","M","R","N",,,"adult","scrotal",,,,20.0,16.0,57.0,125.0,15.00,"TALL.20140601.R1098.B","mandibular","TALL.20140601.R1098.F","fresh","TALL.20140601.R1098.E","TALL.20140601.R1098.H","TALL.20140601.R1098.H",,"v7wRdnV1gD6DA7NUoRhtXNeAYtN2k0WN","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg",,-1,0,1,-1,0
"977DE42B1AFE4FAD91DEF9AA18BA3A5D","D08","TALL","TALL_024","I2","deciduousForest",32.923556,-87.419869,"WGS84",,126.3,,"2014-06-02","MAM.TALL.2014.06","NEON.MAM.D08.0R1119","PELE","Peromyscus leucopus","species",," ","M","N","Y",,,"adult","nonscrotal",,,,19.0,18.0,70.0,156.0,25.00,,,,,,,,,"v7wRdnV1gD6DA7NUoRhtXNeAYtN2k0WN","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg",,0,0,0,-1,0
"82E18746FBCF482785F5DD0FCCAF518C","D08","TALL","TALL_031","I7","evergreenForest",32.898827,-87.387020,"WGS84",,134.5,,"2014-06-02","MAM.TALL.2014.06","NEON.MAM.D08.0R1118","PEPO","Peromyscus polionotus","species",," ","M","N","N",,,"adult","nonscrotal",,,,17.0,14.0,72.0,140.0,15.00,"TALL.20140602.R1118.B","mandibular","TALL.20140602.R1118.F","fresh","TALL.20140602.R1118.E","TALL.20140602.R1118.H","TALL.20140602.R1118.H",,"1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f","uXSN77Q7x9cACyt+x8PEhxuBjTDRBKZV",,0,0,0,-1,0
"5D7C9FD362E54035ADB4E79341BAD298","D08","TALL","TALL_031","E10","evergreenForest",32.898555,-87.387447,"WGS84",,134.5,,"2014-06-02","MAM.TALL.2014.06","NEON.MAM.D08.0R1026","PELE","Peromyscus leucopus","species",," ","F","N","Y","escaped",,,,,"not",,,,,,,,,"TALL.20140602.R1026.F","fresh",,,,,"1BXlVo/+sgQnzGKl3MtQcn6rxZDFIa/f","uXSN77Q7x9cACyt+x8PEhxuBjTDRBKZV",,-1,0,1,-1,0
