"uid","domainID","siteID","plotID","trapCoordinate","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","date","eventID","individualID","taxonID","scientificName","taxonRank","identificationQualifier","identificationStatus","sex","reproductiveCondition","recapture","fate","replacedTag","lifeStage","testes","nipples","pregnancyStatus","vagina","hindfootLength","earLength","tailLength","totalLength","weight","bloodSampleID","bloodSampleMethod","fecalSampleID","fecalSampleCondition","earSampleID","hairSampleID","whiskerSampleID","voucherSampleID","measuredBy","recordedBy","remarks","consistencyTagIDSexQF","consistencyTagIDTaxonIDQF","consistencyTagIDLifeStageQF","orderTagIDRecaptureQF","orderTagIDLifeStageQF"
"E713FA18193B47B3B9BC801B0107C667","D09","WOOD","WOOD_008","F6","grasslandHerbaceous",47.142976,-99.212467,"WGS84",,571.4,,"2014-06-01","MAM.WOOD.2014.06","NEON.MAM.D09.934738","MIPE","Microtus pennsylvanicus","species",," ","F","R","N",,,"adult",,"nonenlarged","not","swollen",19.0,,,,,"WOOD.20140601.934738.B","mandibular",,,,,,,"a/0SlN26fEtmJ3LLysIxkaRUfZvckIBE","ZSvzx6rh21cdFCUHnzRDqELnQVBF2iTJ","Started bleeding our of vagina during processing. ",0,0,0,-1,0
"F6D69D00E3BB44B2B06E9C2FF45F43A0","D09","WOOD","WOOD_013","D2","grasslandHerbaceous",47.139225,-99.230255,"WGS84",,577.2,,"2014-06-01","MAM.WOOD.2014.06","NEON.MAM.D09.141201","MIPE","Microtus pennsylvanicus","species",," ","M","N","N",,,"subadult","nonscrotal",,,,18.0,,,,14.00,"WOOD.20140601.141201.B","mandibular","WOOD.20140601.141201.F","fresh","WOOD.20140601.141201.E","WOOD.20140601.141201.H","WOOD.20140601.141201.H",,"GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh",,0,0,0,-1,0
"9C1E44988A0E484DB132CE58FFFB2BAB","D09","WOOD","WOOD_002","C6","grasslandHerbaceous",47.135041,-99.232411,"WGS84",,576.6,,"2014-06-01","MAM.WOOD.2014.06","NEON.MAM.D09.940248","MIPE","Microtus pennsylvanicus","species",," ","M","N","N",,,"adult","nonscrotal",,,,19.0,,,,26.00,"WOOD.20140601.940248.B","mandibular","WOOD.20140601.940248.F","fresh","WOOD.20140601.940248.E","WOOD.20140601.940248.H","WOOD.20140601.940248.H",,"GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh",,-1,0,1,-1,0
"4AED5468439A4516A30C41A9041A57FE","D09","WOOD","WOOD_002","F5","grasslandHerbaceous",47.135132,-99.232016,"WGS84",,576.4,,"2014-06-01","MAM.WOOD.2014.06","NEON.MAM.D09.940731","MIPE","Microtus pennsylvanicus","species",," ","M","N","N",,,"subadult","nonscrotal",,,,19.0,,,,16.00,,"unsuccessful","WOOD.20140601.940731.F","fresh","WOOD.20140601.940731.E","WOOD.20140601.940731.H","WOOD.20140601.940731.H",,"GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh",,0,0,0,-1,0
"DDFD16925BCB48AE9D8EF43815790C86","D09","WOOD","WOOD_002","E6","grasslandHerbaceous",47.135042,-99.232148,"WGS84",,576.4,,"2014-06-01","MAM.WOOD.2014.06","NEON.MAM.D09.934280","MIPE","Microtus pennsylvanicus","species",," ","M","N","N",,,"subadult","nonscrotal",,,,18.0,,,,19.00,"WOOD.20140601.934280.B","mandibular","WOOD.20140601.934280.F","fresh","WOOD.20140601.934280.E","WOOD.20140601.934280.H","WOOD.20140601.934280.H",,"GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh",,0,0,0,-1,0
"2A1BD130BA414272BC939D5368099448","D09","WOOD","WOOD_006","A1","grasslandHerbaceous",47.143940,-99.248329,"WGS84",,596.4,,"2014-06-01","MAM.WOOD.2014.06","NEON.MAM.D09.0L1063","PEMA","Peromyscus maniculatus","species",," ","M","N","N",,,"adult","nonscrotal",,,,18.0,,,,19.00,,"unsuccessful","WOOD.20140601.L1063.F","old","WOOD.20140601.L1063.E",,,,"a/0SlN26fEtmJ3LLysIxkaRUfZvckIBE","ZSvzx6rh21cdFCUHnzRDqELnQVBF2iTJ",,0,0,0,-1,0
"6123476CC01C41DD96706C9FD0A78529","D09","WOOD","WOOD_006","B9","grasslandHerbaceous",47.143220,-99.248194,"WGS84",,595.7,,"2014-06-01","MAM.WOOD.2014.06","NEON.MAM.D09.934474","MIPE","Microtus pennsylvanicus","species",," ","M","N","N",,,"subadult","nonscrotal",,,,,,,,16.00,"WOOD.20140601.934474.B","mandibular","WOOD.20140601.934474.F","fresh",,"WOOD.20140601.934474.H","WOOD.20140601.934474.H",,"a/0SlN26fEtmJ3LLysIxkaRUfZvckIBE","ZSvzx6rh21cdFCUHnzRDqELnQVBF2iTJ",,0,0,0,-1,0
"B2E304488797468D8DFEFD99691AD132","D09","WOOD","WOOD_013","D7","grasslandHerbaceous",47.138775,-99.230253,"WGS84",,577.0,,"2014-06-01","MAM.WOOD.2014.06","NEON.MAM.D09.939856","MIPE","Microtus pennsylvanicus","species",," ","F","R","Y",,,"adult",,"enlarged","pregnant",,,,,,,,,,,,,,,"GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh",,0,0,0,-1,0
"F7F8A8C5D2464974A2B33E11F1987984","D09","WOOD","WOOD_006","I3","grasslandHerbaceous",47.143762,-99.247273,"WGS84",,595.4,,"2014-06-01","MAM.WOOD.2014.06","NEON.MAM.D09.0R1062","ZAPR","Zapus princeps","species",," ","M","N","N",,,"adult","nonscrotal",,,,,,,,16.00,,"unsuccessful",,,,,,,"a/0SlN26fEtmJ3LLysIxkaRUfZvckIBE","ZSvzx6rh21cdFCUHnzRDqELnQVBF2iTJ",,0,0,0,-1,0
"907239E4098D4B6EBF60C9D7B6488C18","D09","WOOD","WOOD_006","F7","grasslandHerbaceous",47.143401,-99.247667,"WGS84",,595.4,,"2014-06-02","MAM.WOOD.2014.06","NEON.MAM.D09.935235","MIPE","Microtus pennsylvanicus","species",," ","M","N","N",,,"adult","nonscrotal",,,,20.0,,,,33.00,"WOOD.20140602.935235.B","mandibular","WOOD.20140602.935235.F","fresh","WOOD.20140602.935235.E","WOOD.20140602.935235.H","WOOD.20140602.935235.H",,"a/0SlN26fEtmJ3LLysIxkaRUfZvckIBE","Glfb8KVQCs2ca8MrfE5d5cOANQu8NmNl",,0,0,0,-1,0
"16EE168F7EB44913AAEECCEF1F28A391","D09","WOOD","WOOD_002","C8","grasslandHerbaceous",47.134861,-99.232411,"WGS84",,576.5,,"2014-06-02","MAM.WOOD.2014.06","NEON.MAM.D09.940386","MIPE","Microtus pennsylvanicus","species",," ","F","R","N",,,"adult",,"enlarged","not","neither",,,,,,"WOOD.20140602.940386.B","mandibular","WOOD.20140602.940386.F","fresh",,,,,"9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh","GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr",,0,0,0,-1,0
