"uid","domainID","siteID","plotID","trapCoordinate","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","date","eventID","individualID","taxonID","scientificName","taxonRank","identificationQualifier","identificationStatus","sex","reproductiveCondition","recapture","fate","replacedTag","lifeStage","testes","nipples","pregnancyStatus","vagina","hindfootLength","earLength","tailLength","totalLength","weight","bloodSampleID","bloodSampleMethod","fecalSampleID","fecalSampleCondition","earSampleID","hairSampleID","whiskerSampleID","voucherSampleID","measuredBy","recordedBy","remarks","consistencyTagIDSexQF","consistencyTagIDTaxonIDQF","consistencyTagIDLifeStageQF","orderTagIDRecaptureQF","orderTagIDLifeStageQF"
"0963B377DE974C16B437DFF11F75959F","D10","CPER","CPER_002","G10","grasslandHerbaceous",40.810008,-104.730631,"WGS84",,1651.1,,"2014-07-01","MAM.CPER.2014.07","NEON.MAM.D10.952305","PEFL","Perognathus flavus","species",," ","F","R","N",,,"adult",,"enlarged","not","neither",16.0,4.0,54.0,114.0,14.00,,,"CPER.20140701.952305.F","old","CPER.20140701.952305.E",,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","E+aZF4QjQpjZbv1Tn0+BDzulS9nJGmVV",,0,0,0,-1,0
"C6DB37D535F24595973395FC7384E344","D10","CPER","CPER_004","C9","grasslandHerbaceous",40.812731,-104.698775,"WGS84",,1618.1,,"2014-07-02","MAM.CPER.2014.07","NEON.MAM.D10.0R0778","DIOR","Dipodomys ordii","species",," ","M","R","Y",,,"adult","scrotal",,,,37.0,10.0,140.0,260.0,70.00,,,"CPER.20140702.R0778.F","fresh",,"CPER.20140702.R0778.H","CPER.20140702.R0778.H",,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","E+aZF4QjQpjZbv1Tn0+BDzulS9nJGmVV",,0,0,0,-1,0
"084F567B16AC40E093B51D30285BEFD9","D10","CPER","CPER_011","G9","grasslandHerbaceous",40.867220,-104.703399,"WGS84",,1662.9,,"2014-07-02","MAM.CPER.2014.07","NEON.MAM.D10.0L0789","REME","Reithrodontomys megalotis","species","cf. species"," ","M","R","Y",,,"adult","scrotal",,,,17.0,10.0,70.0,140.0,16.00,,,"CPER.20140702.L0789.F","fresh","CPER.20140702.L0789.E","CPER.20140702.L0789.H","CPER.20140702.L0789.H",,"UXBWU10B2GNywEWFJgkBhTUfnl1mPVbQ","7s8V2dSzVuN06jAc/Ai995onghbMwpaw","Back of trap door not closed",0,0,0,-1,0
"0261606615014D91A3510EC29D320F06","D10","CPER","CPER_011","A7","grasslandHerbaceous",40.867402,-104.704111,"WGS84",,1664.6,,"2014-07-02","MAM.CPER.2014.07","NEON.MAM.D10.951439","PEFL","Perognathus flavus","species",," ","M","R","N","dead",,"adult","scrotal",,,,16.0,4.0,55.0,110.0,11.00,,"unsuccessful","CPER.20140702.951439.F","old","CPER.20140702.951439.E","CPER.20140702.951439.H",,"CPER.20140702.951439.V","UXBWU10B2GNywEWFJgkBhTUfnl1mPVbQ","7s8V2dSzVuN06jAc/Ai995onghbMwpaw","Pit tag came out, attempted to pit again after bleed attempt. Lost responsiveness, gave sugar water, but no response. Died.",0,0,0,-1,0
"2C58E40710034B8B8C0822C6A661A1EB","D10","CPER","CPER_011","F8","grasslandHerbaceous",40.867310,-104.703518,"WGS84",,1663.3,,"2014-07-02","MAM.CPER.2014.07","NEON.MAM.D10.0R0752","REME","Reithrodontomys megalotis","species","cf. species"," ","M","R","Y",,,"adult","scrotal",,,,14.0,12.0,62.0,115.0,13.00,"CPER.20140702.R0752.B","mandibular","CPER.20140702.R0752.F","fresh",,"CPER.20140702.R0752.H","CPER.20140702.R0752.H",,"UXBWU10B2GNywEWFJgkBhTUfnl1mPVbQ","7s8V2dSzVuN06jAc/Ai995onghbMwpaw",,0,0,0,-1,0
"821443F792314320AA858B03C8E7DFCF","D10","CPER","CPER_015","H2","grasslandHerbaceous",40.853443,-104.742653,"WGS84",,1668.1,,"2014-07-02","MAM.CPER.2014.07","NEON.MAM.D10.952339","REMO","Reithrodontomys montanus","species","cf. species"," ","M","R","N",,,"adult","scrotal",,,,11.0,8.0,70.0,142.0,16.00,"CPER.20140702.952339.B","mandibular","CPER.20140702.952339.F","fresh",,"CPER.20140702.952339.H","CPER.20140702.952339.H",,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","E+aZF4QjQpjZbv1Tn0+BDzulS9nJGmVV","Replaced torn out ear tag with pit tag.",0,0,0,-1,0
"62C3C3259DD94C1A8EEEA7F00A75BDB7","D10","CPER","CPER_015","G7","grasslandHerbaceous",40.852993,-104.742773,"WGS84",,1667.7,,"2014-07-03","MAM.CPER.2014.07","NEON.MAM.D10.951628","REME","Reithrodontomys megalotis","species","cf. species"," ","M","R","N",,,"adult","scrotal",,,,17.0,12.0,61.0,116.0,12.00,"CPER.20140703.951628.B","mandibular","CPER.20140703.951628.F","fresh","CPER.20140703.951628.E","CPER.20140703.951628.H","CPER.20140703.951628.H",,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","E+aZF4QjQpjZbv1Tn0+BDzulS9nJGmVV",,0,0,0,-1,0
"7264A42C5CC24370995316015CD586E0","D10","CPER","CPER_011","D9","grasslandHerbaceous",40.867220,-104.703755,"WGS84",,1663.7,,"2014-07-03","MAM.CPER.2014.07","NEON.MAM.D10.951433","PEFL","Perognathus flavus","species",," ","M","R","N",,,"adult","scrotal",,,,16.0,6.0,48.0,108.0,10.00,,"unsuccessful",,,,"CPER.20140703.951433.H","CPER.20140703.951433.H",,"UXBWU10B2GNywEWFJgkBhTUfnl1mPVbQ","7s8V2dSzVuN06jAc/Ai995onghbMwpaw",,0,0,0,-1,0
"662BB7704D874B9095680F3E23E2A82A","D10","CPER","CPER_004","C8","grasslandHerbaceous",40.812821,-104.698775,"WGS84",,1618.1,,"2014-07-03","MAM.CPER.2014.07","NEON.MAM.D10.0R0778","DIOR","Dipodomys ordii","species",," ","M","R","Y",,,"adult","scrotal",,,,37.0,10.0,140.0,260.0,67.00,,,,,,,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","E+aZF4QjQpjZbv1Tn0+BDzulS9nJGmVV",,0,0,0,-1,0
"6C46AD5EA2994E68924C5C007D630BDC","D10","CPER","CPER_004","D1","grasslandHerbaceous",40.813451,-104.698653,"WGS84",,1618.0,,"2014-07-03","MAM.CPER.2014.07","NEON.MAM.D10.0R0669","ONLE","Onychomys leucogaster","species",," ","M","R","Y",,,"adult","scrotal",,,,19.0,14.0,35.0,125.0,32.00,,,"CPER.20140703.R0669.F","fresh",,,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","E+aZF4QjQpjZbv1Tn0+BDzulS9nJGmVV",,0,0,0,-1,0
