"uid","domainID","siteID","plotID","trapCoordinate","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","date","eventID","individualID","taxonID","scientificName","taxonRank","identificationQualifier","identificationStatus","sex","reproductiveCondition","recapture","fate","replacedTag","lifeStage","testes","nipples","pregnancyStatus","vagina","hindfootLength","earLength","tailLength","totalLength","weight","bloodSampleID","bloodSampleMethod","fecalSampleID","fecalSampleCondition","earSampleID","hairSampleID","whiskerSampleID","voucherSampleID","measuredBy","recordedBy","remarks","consistencyTagIDSexQF","consistencyTagIDTaxonIDQF","consistencyTagIDLifeStageQF","orderTagIDRecaptureQF","orderTagIDLifeStageQF"
"B46331F373C84188A5B4C46AC874536E","D10","STER","STER_006","J2","cultivatedCrops",40.462678,-103.034861,"WGS84",,1369.6,,"2014-06-19","MAM.STER.2014.07","NEON.MAM.D10.0R1012","ONLE","Onychomys leucogaster","species",," ","M","R","N",,,"adult","scrotal",,,,20.0,13.0,37.0,95.0,44.00,"STER.20140619.R1012.B","mandibular","STER.20140619.R1012.F","fresh","STER.20140619.R1012.E","STER.20140619.R1012.H","STER.20140619.R1012.H",,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","7s8V2dSzVuN06jAc/Ai995onghbMwpaw","from previous year",0,0,0,-1,0
"617C477CEEF944E1879FAF0A7528B625","D10","STER","STER_006","A1","cultivatedCrops",40.462786,-103.035919,"WGS84",,1369.9,,"2014-06-19","MAM.STER.2014.07","NEON.MAM.D10.0R1023","ONLE","Onychomys leucogaster","species",," ","M","R","N",,,"adult","scrotal",,,,21.0,14.0,40.0,120.0,41.00,,"unsuccessful","STER.20140619.R1023.F","fresh","STER.20140619.R1023.E","STER.20140619.R1023.H","STER.20140619.R1023.H",,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","7s8V2dSzVuN06jAc/Ai995onghbMwpaw",,0,0,0,-1,0
"F21CFB22D8EB4D4FBECAA7E7E9567EB2","D10","STER","STER_006","A6","cultivatedCrops",40.462336,-103.035932,"WGS84",,1369.8,,"2014-06-19","MAM.STER.2014.07","NEON.MAM.D10.126658","REMO","Reithrodontomys montanus","species","cf. species"," ","M","R","N",,,"adult","scrotal",,,,17.0,9.0,65.0,70.0,15.00,"STER.20140619.126658.B","mandibular","STER.20140619.126658.F","fresh","STER.20140619.126658.E","STER.20140619.126658.H","STER.20140619.126658.H",,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","7s8V2dSzVuN06jAc/Ai995onghbMwpaw",,0,0,0,-1,0
"75A0C90D1A6B40FC9F3849094584C678","D10","STER","STER_006","B10","cultivatedCrops",40.461974,-103.035825,"WGS84",,1369.6,,"2014-06-19","MAM.STER.2014.07","NEON.MAM.D10.415514","REME","Reithrodontomys megalotis","species","cf. species"," ","M","R","N",,,"adult","scrotal",,,,17.0,10.0,63.0,126.0,12.00,"STER.20140619.415514.B","mandibular","STER.20140619.415514.F","fresh","STER.20140619.415514.E","STER.20140619.415514.H","STER.20140619.415514.H",,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","7s8V2dSzVuN06jAc/Ai995onghbMwpaw",,0,0,0,-1,0
"823B597493A5415B8806AC500645A1EE","D10","STER","STER_006","C1","cultivatedCrops",40.462782,-103.035683,"WGS84",,1369.8,,"2014-06-19","MAM.STER.2014.07","NEON.MAM.D10.0R1021","PEMA","Peromyscus maniculatus","species",," ","F","N","N",,,"adult",,"nonenlarged","not","neither",19.0,11.0,60.0,135.0,22.00,"STER.20140619.R1021.B","mandibular","STER.20140619.R1021.F","fresh","STER.20140619.R1021.E","STER.20140619.R1021.H","STER.20140619.R1021.H",,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","7s8V2dSzVuN06jAc/Ai995onghbMwpaw",,0,0,0,-1,0
"1456D17CD0514362B942592B6B8BE94F","D10","STER","STER_006","I4","cultivatedCrops",40.462500,-103.034984,"WGS84",,1369.5,,"2014-06-19","MAM.STER.2014.07","NEON.MAM.D10.0R1050","PEMA","Peromyscus maniculatus","species",," ","M","R","Y","escaped",,"adult","scrotal",,,,,,,,,,,"STER.20140619.R1050.F","fresh","STER.20140619.R1050.E",,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","7s8V2dSzVuN06jAc/Ai995onghbMwpaw","escaped. possibly from previous year trapping",0,0,0,-1,0
"09416566BE454766A255C4CCC58EAD77","D10","STER","STER_028","A8","cultivatedCrops",40.473314,-103.020534,"WGS84",,1367.4,,"2014-06-20","MAM.STER.2014.07","NEON.MAM.D10.0R0888","ONLE","Onychomys leucogaster","species",," ","F","N","N",,,"subadult",,"nonenlarged","not","neither",19.0,11.0,39.0,85.0,19.00,,,,,,"STER.20140620.R0888.H","STER.20140620.R0888.H",,"UXBWU10B2GNywEWFJgkBhTUfnl1mPVbQ","E+aZF4QjQpjZbv1Tn0+BDzulS9nJGmVV",,0,0,0,-1,0
"00169B7976D94F25B7928897B5122334","D10","STER","STER_028","D5","cultivatedCrops",40.473578,-103.020173,"WGS84",,1367.2,,"2014-06-20","MAM.STER.2014.07","NEON.MAM.D10.0L0897","ONLE","Onychomys leucogaster","species",," ","F","N","Y",,"R0797","adult",,"nonenlarged","not","neither",21.0,12.0,44.0,114.0,29.00,,,"STER.20140620.L0897.F","fresh",,"STER.20140620.L0897.H","STER.20140620.L0897.H",,"UXBWU10B2GNywEWFJgkBhTUfnl1mPVbQ","E+aZF4QjQpjZbv1Tn0+BDzulS9nJGmVV",,0,0,0,-1,0
"45736119ED574C83915C32E39988F09B","D10","STER","STER_026","B3","cultivatedCrops",40.473735,-103.025546,"WGS84",,1370.6,,"2014-06-20","MAM.STER.2014.07","NEON.MAM.D10.0R1091","PEMA","Peromyscus maniculatus","species",," ","F","R","Y",,"R1091","adult",,"enlarged","pregnant","swollen",,,,,,,,"STER.20140620.R1091.F","fresh",,,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","7s8V2dSzVuN06jAc/Ai995onghbMwpaw",,0,0,0,-1,0
"320110A736D04695ACCEBC1AC6E50781","D10","STER","STER_028","B8","cultivatedCrops",40.473312,-103.020416,"WGS84",,1367.3,,"2014-06-20","MAM.STER.2014.07","NEON.MAM.D10.0L0758","ONLE","Onychomys leucogaster","species",," ","F","N","N",,,"adult",,"nonenlarged","not","neither",19.0,16.0,41.0,102.0,26.00,,,"STER.20140620.L0758.F","fresh",,"STER.20140620.L0758.H","STER.20140620.L0758.H",,"UXBWU10B2GNywEWFJgkBhTUfnl1mPVbQ","E+aZF4QjQpjZbv1Tn0+BDzulS9nJGmVV",,0,0,0,-1,0
