uid,domainID,siteID,plotID,trapCoordinate,nlcdClass,date,individualID,taxonID,scientificName,taxonRank,identificationQualifier,sex,reproductiveCondition,recapture,lifeStage,hindfootLength,earLength,tailLength,totalLength,weight
A1AF35C05AC84A64B1EF6D20049F422E,D11,OAES,OAES_007,I10,shrubScrub,5/19/2015,NEON.MAM.D11.0L1209,PEMA,Peromyscus maniculatus,species,,M,N,N,adult,17,12,50,137,18
12ADDDE4E34D4D61BE8A15727672DF03,D11,OAES,OAES_007,E6,shrubScrub,5/19/2015,NEON.MAM.D11.0L1206,CHHI,Chaetodipus hispidus,species,,M,N,N,adult,23,11,94,192,35
9BB4A0DF0CC44BEAAC0E404F76496BA1,D11,OAES,OAES_004,A7,grasslandHerbaceous,5/19/2015,NEON.MAM.D11.0R1019,CHHI,Chaetodipus hispidus,species,,M,N,N,adult,25,8,99,197,41
BDFE388DC1E7407B814074EF88C5CAB6,D11,OAES,OAES_007,A3,shrubScrub,5/19/2015,NEON.MAM.D11.0L1200,PEFL,Perognathus flavus,species,,F,N,N,adult,14,4,48,98,6
97BCB54CAE7648968EA71BBE3107D899,D11,OAES,OAES_007,A6,shrubScrub,5/19/2015,NEON.MAM.D11.0L1202,ONLE,Onychomys leucogaster,species,,F,N,N,adult,20,15,52,132,43
C8EAD35368384A01B91938A65A25D7F0,D11,OAES,OAES_007,J7,shrubScrub,5/19/2015,NEON.MAM.D11.0L1211,ONLE,Onychomys leucogaster,species,,M,N,N,adult,20,12,41,132,40
A48726787AF642DE8B7F44486778C9ED,D11,OAES,OAES_007,C9,shrubScrub,5/19/2015,NEON.MAM.D11.0L1224,CHHI,Chaetodipus hispidus,species,,M,R,N,adult,22,11,98,200,56
F6BF38F8D5E14B578F3AAD49CAA88E5F,D11,OAES,OAES_007,D1,shrubScrub,5/19/2015,NEON.MAM.D11.0L1204,CHHI,Chaetodipus hispidus,species,,M,N,N,adult,24,12,98,202,47
7F5569F0CC194CD08796DA25D715E1BF,D11,OAES,OAES_007,E10,shrubScrub,5/19/2015,NEON.MAM.D11.0L1208,PEMA,Peromyscus maniculatus,species,,M,N,N,adult,17,15,55,133,15
B05D292582EB4CC6AF4A603287027D8D,D11,OAES,OAES_004,H6,grasslandHerbaceous,5/19/2015,NEON.MAM.D11.0L1047,ONLE,Onychomys leucogaster,species,,M,R,N,adult,,,,149,
DB0E75AE721E4964B5011622BFC4A81F,D11,OAES,OAES_004,J9,grasslandHerbaceous,5/19/2015,NEON.MAM.D11.0L1029,PEMA,Peromyscus maniculatus,species,,M,N,N,adult,18,14,55,139,19
33C574E042FE4576916741991D2DFFFB,D11,OAES,OAES_004,D7,grasslandHerbaceous,5/19/2015,NEON.MAM.D11.0L1022,PEMA,Peromyscus maniculatus,species,,F,N,N,subadult,17,13,57,137,17
5305EC12CCC74FAEB1A9C1E8F7BDBDE9,D11,OAES,OAES_004,F2,grasslandHerbaceous,5/19/2015,NEON.MAM.D11.0L1027,ONLE,Onychomys leucogaster,species,,F,R,N,adult,19,13,44,133,36
7316E8D192FA457B9DEFE40A40D04290,D11,OAES,OAES_004,F5,grasslandHerbaceous,5/19/2015,NEON.MAM.D11.0L1028,PEFV,Perognathus flavescens,species,,F,N,N,adult,14,7,50,112,9
F93DF832078848C29FBB322997D398E8,D11,OAES,OAES_004,E8,grasslandHerbaceous,5/19/2015,NEON.MAM.D11.0L1026,CHHI,Chaetodipus hispidus,species,,F,R,N,adult,16,12,101,202,41
9B9A7D7F724F4D2BA065446EC17E49B7,D11,OAES,OAES_004,F9,grasslandHerbaceous,5/19/2015,NEON.MAM.D11.0L1049,CHHI,Chaetodipus hispidus,species,,M,R,N,adult,25,11,104,204,49
0A9D67BC59904782AC8687B8C6355024,D11,OAES,OAES_004,D1,grasslandHerbaceous,5/19/2015,NEON.MAM.D11.0L1021,ONLE,Onychomys leucogaster,species,,M,N,N,adult,22,15,45,149,42
D48B0B76324E44F198FB5C1A884234EC,D11,OAES,OAES_004,D3,grasslandHerbaceous,5/19/2015,NEON.MAM.D11.0L1023,PEMA,Peromyscus maniculatus,species,,F,N,N,adult,19,13,65,152,24
0B06813202CC42BF848DBC48918F6E82,D11,OAES,OAES_004,H5,grasslandHerbaceous,5/19/2015,NEON.MAM.D11.0L1030,CHHI,Chaetodipus hispidus,species,,M,R,N,adult,25,9,95,206,42
BC3D43BC24E5474C9E2621E6E0AA4E2F,D11,OAES,OAES_004,I4,grasslandHerbaceous,5/19/2015,NEON.MAM.D11.0L1031,CHHI,Chaetodipus hispidus,species,,M,R,N,adult,26,12,104,222,59
5232202BB10C47A5A0ED99341162D5A0,D11,OAES,OAES_007,D3,shrubScrub,5/19/2015,NEON.MAM.D11.0L1205,ONLE,Onychomys leucogaster,species,,M,R,N,adult,20,14,39,133,43
82B9412B86814073A744D8A10B722961,D11,OAES,OAES_007,H10,shrubScrub,5/19/2015,NEON.MAM.D11.0L1210,PEFL,Perognathus flavus,species,,F,N,N,adult,14,4,55,111,7
6FB253B957D048FABD9C694A862F66E2,D11,OAES,OAES_007,A5,shrubScrub,5/19/2015,NEON.MAM.D11.0L1201,PEFL,Perognathus flavus,species,,F,N,N,adult,14,7,52,113,9
837BA2CE5F034DEA8F44A2A0DD2322CC,D11,OAES,OAES_007,C7,shrubScrub,5/19/2015,NEON.MAM.D11.0L1203,ONLE,Onychomys leucogaster,species,,F,R,N,adult,21,15,43,133,38
8222EEA62450454E8164519F105BBE00,D11,OAES,OAES_007,I1,shrubScrub,5/19/2015,NEON.MAM.D11.0L1223,ONLE,Onychomys leucogaster,species,,F,N,N,adult,22,13,49,140,47
A676CF3512704821BA555FE2D4CC8BAA,D11,OAES,OAES_004,A6,grasslandHerbaceous,5/19/2015,NEON.MAM.D11.0L1020,ONLE,Onychomys leucogaster,species,,F,R,N,adult,19,14,44,122,38
