"uid","domainID","siteID","plotID","trapCoordinate","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","date","eventID","individualID","taxonID","scientificName","taxonRank","identificationQualifier","identificationStatus","sex","reproductiveCondition","recapture","fate","replacedTag","lifeStage","testes","nipples","pregnancyStatus","vagina","hindfootLength","earLength","tailLength","totalLength","weight","bloodSampleID","bloodSampleMethod","fecalSampleID","fecalSampleCondition","earSampleID","hairSampleID","whiskerSampleID","voucherSampleID","measuredBy","recordedBy","remarks","consistencyTagIDSexQF","consistencyTagIDTaxonIDQF","consistencyTagIDLifeStageQF","orderTagIDRecaptureQF","orderTagIDLifeStageQF"
"4A6F7B579E4D46D7B45E1CCB0BD99604","D15","ONAQ","ONAQ_005","C4",,40.180839,-112.429964,"WGS84",,1631.2,,"2014-06-01","MAM.ONAQ.2014.06","NEON.MAM.D15.0L1084","PEMA","Peromyscus maniculatus","species",," ","F","N","N",,,"juvenile",,"nonenlarged","not","neither",19.0,,,,13.00,"ONAQ.20140601.L1084.B","mandibular","ONAQ.20140601.L1084.F","fresh","ONAQ.20140601.L1084.E","ONAQ.20140601.L1084.H","ONAQ.20140601.L1084.H",,"wsPgf8Zw9fJKymWy47Zkre6IykLRH3+g","qnNRlNDF2ndv9+C3oWEt5IdhKZpI37LJ",,0,0,1,-1,1
"D11D924D91C84EF2946D65A2B91000A5","D15","ONAQ","ONAQ_005","A3",,40.180926,-112.430200,"WGS84",,1631.9,,"2014-06-01","MAM.ONAQ.2014.06","NEON.MAM.D15.0L1021","PEMA","Peromyscus maniculatus","species",," ","F","N","N",,,"juvenile",,"nonenlarged","not","neither",18.0,,,,13.00,"ONAQ.20140601.L1021.B","mandibular","ONAQ.20140601.L1021.F","fresh","ONAQ.20140601.L1021.E","ONAQ.20140601.L1021.H","ONAQ.20140601.L1021.H",,"wsPgf8Zw9fJKymWy47Zkre6IykLRH3+g","qnNRlNDF2ndv9+C3oWEt5IdhKZpI37LJ",,-1,0,1,-1,1
"A613C75138BA44DA8BF432421ED5DA5F","D15","ONAQ","ONAQ_004","G4",,40.186609,-112.473850,"WGS84",,1741.5,,"2014-06-01","MAM.ONAQ.2014.06",,"PEMA","Peromyscus maniculatus","species","cf. species"," ",,"N","N","escaped",,,,,"not",,,,,,,,,,,,,,,"MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=","B5YzZg28369xWGye0Wf9qxMwC1Zdm1gM","Escaped while collecting traps",-1,-1,-1,-1,-1
"6FD6622B0AD0481CB8A985E8642F38D0","D15","ONAQ","ONAQ_005","C1",,40.181109,-112.429969,"WGS84",,1631.7,,"2014-06-01","MAM.ONAQ.2014.06","NEON.MAM.D15.0L1090","PEMA","Peromyscus maniculatus","species",," ","F","N","N",,,"juvenile",,"nonenlarged","not","neither",20.0,,,,10.00,,,"ONAQ.20140601.L1090.F","fresh","ONAQ.20140601.L1090.E","ONAQ.20140601.L1090.H","ONAQ.20140601.L1090.H",,"wsPgf8Zw9fJKymWy47Zkre6IykLRH3+g","qnNRlNDF2ndv9+C3oWEt5IdhKZpI37LJ","Too small to bleed",0,0,0,-1,0
"A7A6E0916F5C4F6395FD8D5FEA61C24A","D15","ONAQ","ONAQ_015","G2",,40.150614,-112.478940,"WGS84",,1676.7,,"2014-06-01","MAM.ONAQ.2014.06","NEON.MAM.D15.0R1343","PEMA","Peromyscus maniculatus","species",," ","F","N","N",,,"subadult",,"nonenlarged","not","neither",20.0,,,,20.00,"ONAQ.20140601.R1343.B","mandibular","ONAQ.20140601.R1343.F","fresh",,"ONAQ.20140601.R1343.H","ONAQ.20140601.R1343.H",,"MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=","B5YzZg28369xWGye0Wf9qxMwC1Zdm1gM",,0,0,0,-1,0
"329D6A3CB96A4D41907A5A56AE4BFD78","D15","ONAQ","ONAQ_005","I4",,40.180848,-112.429259,"WGS84",,1629.7,,"2014-06-01","MAM.ONAQ.2014.06","NEON.MAM.D15.0L1051","ONLE","Onychomys leucogaster","species",," ","M","R","N",,,"adult","scrotal",,,,17.0,16.0,32.0,,27.00,,"unsuccessful","ONAQ.20140601.L1051.F","fresh","ONAQ.20140601.L1051.E",,,,"wsPgf8Zw9fJKymWy47Zkre6IykLRH3+g","qnNRlNDF2ndv9+C3oWEt5IdhKZpI37LJ",,0,0,0,-1,0
"0B7FBFB1565149F1847CC8944702785C","D15","ONAQ","ONAQ_015","H7",,40.150165,-112.478813,"WGS84",,1675.9,,"2014-06-01","MAM.ONAQ.2014.06","NEON.MAM.D15.0R1383","PEMA","Peromyscus maniculatus","species",," ","F","R","N",,,"adult",,"enlarged","not","neither",22.0,,,,25.00,,"unsuccessful","ONAQ.20140601.R1383.F","fresh",,"ONAQ.20140601.R1383.H","ONAQ.20140601.R1383.H",,"MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=","B5YzZg28369xWGye0Wf9qxMwC1Zdm1gM",,0,0,0,-1,0
"3EFD1754847A448AAE7EAFF6B8F4B7A7","D15","ONAQ","ONAQ_015","I5",,40.150347,-112.478699,"WGS84",,1676.1,,"2014-06-01","MAM.ONAQ.2014.06","NEON.MAM.D15.0R1350","PEMA","Peromyscus maniculatus","species",," ","M","R","N",,,"adult","scrotal",,,,22.0,,,,23.00,"ONAQ.20140601.R1350.B","mandibular","ONAQ.20140601.R1350.F","fresh",,"ONAQ.20140601.R1350.H","ONAQ.20140601.R1350.H",,"MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=","B5YzZg28369xWGye0Wf9qxMwC1Zdm1gM",,0,0,0,-1,0
"474F1F53088B41488D94F74D62660A01","D15","ONAQ","ONAQ_005","G4",,40.180845,-112.429494,"WGS84",,1630.2,,"2014-06-01","MAM.ONAQ.2014.06","NEON.MAM.D15.0L1088","PEMA","Peromyscus maniculatus","species",," ","M","R","N",,,"adult","scrotal",,,,21.0,17.0,65.0,,24.00,"ONAQ.20140601.L1088.B","mandibular","ONAQ.20140601.L1088.F","fresh","ONAQ.20140601.L1088.E","ONAQ.20140601.L1088.H","ONAQ.20140601.L1088.H",,"wsPgf8Zw9fJKymWy47Zkre6IykLRH3+g","qnNRlNDF2ndv9+C3oWEt5IdhKZpI37LJ",,0,0,0,-1,0
"1A12041BCF6E4075BFE0D35845A1F99A","D15","ONAQ","ONAQ_005","E7",,40.180572,-112.429723,"WGS84",,1630.3,,"2014-06-01","MAM.ONAQ.2014.06","NEON.MAM.D15.0L1030","PEMA","Peromyscus maniculatus","species",," ","M","N","N",,,"juvenile","nonscrotal",,,,19.0,,,,16.00,"ONAQ.20140601.L1030.B","mandibular",,,"ONAQ.20140601.L1030.E","ONAQ.20140601.L1030.H","ONAQ.20140601.L1030.H",,"wsPgf8Zw9fJKymWy47Zkre6IykLRH3+g","qnNRlNDF2ndv9+C3oWEt5IdhKZpI37LJ",,-1,0,1,-1,1
