Domain,Site,Type,Lat ,Long,SpeciesDiversity
1,BART,reloc,44.06386944,-71.287375,11
1,HARV,core,42.53691111,-72.17265,12
2,SCBI,core,38.892925,-78.13949444,6
2,SERC,reloc,38.890131,-76.560014,4
3,DSNY,reloc,28.12505,-81.43619,3
3,JERC,reloc,31.19483889,-84.46862308,7
3,OSBS,core,29.68928205,-81.99343113,6
5,UNDE,core,46.23391,-89.537254,14
7,ORNL,core,35.96412778,-84.28258806,6
8,TALL,core,32.95047011,-87.39325864,8
9,WOOD,core,47.1281995,-99.2413337,11
10,CEPR,core,40.81553,-104.7456,13
10,STER,reloc,40.46189385,-103.0292904,11
11,OAES,reloc,35.41059889,-99.05877861,9
15,ONAQ,core,40.1775988,-112.4524517,12
